panel	metric_id	analysis_set	endpoint	n_promoters	estimate	ci_low	ci_high	unit	notes
4E	within_distance_quintile_1_fraction_positive	clean ≤500 kb	raw high-minus-low T−G RNA interaction	156	0.46153846153846156	0.3821656050955414	0.5454545454545454	fraction	Contact contrast ranked separately within 50–150, 150–300, and 300–500-kb strata, then pooled by quintile.
4E	within_distance_quintile_2_fraction_positive	clean ≤500 kb	raw high-minus-low T−G RNA interaction	154	0.564935064935065	0.49006289168407485	0.6443063405157187	fraction	Contact contrast ranked separately within 50–150, 150–300, and 300–500-kb strata, then pooled by quintile.
4E	within_distance_quintile_3_fraction_positive	clean ≤500 kb	raw high-minus-low T−G RNA interaction	155	0.6258064516129033	0.5454545454545454	0.7006957328385898	fraction	Contact contrast ranked separately within 50–150, 150–300, and 300–500-kb strata, then pooled by quintile.
4E	within_distance_quintile_4_fraction_positive	clean ≤500 kb	raw high-minus-low T−G RNA interaction	155	0.6967741935483871	0.62	0.7697480794377246	fraction	Contact contrast ranked separately within 50–150, 150–300, and 300–500-kb strata, then pooled by quintile.
4E	within_distance_quintile_5_fraction_positive	clean ≤500 kb	raw high-minus-low T−G RNA interaction	154	0.6688311688311688	0.5866666666666667	0.746872039955222	fraction	Contact contrast ranked separately within 50–150, 150–300, and 300–500-kb strata, then pooled by quintile.
4F	clean_≤500_kb_raw_contact_spearman	clean ≤500 kb	raw T−G RNA interaction	774	0.13030632980883167	0.050528201280597033	0.20914031972960798	Spearman rho	Contact-edge-cluster bootstrap 95% interval.
4F	clean_≤500_kb_log2_contact_spearman	clean ≤500 kb	normalized log2(T/G) interaction	774	0.18389454599155566	0.10666670433381584	0.2621069724520381	Spearman rho	Contact-edge-cluster bootstrap 95% interval.
4F	>500_kb_raw_contact_spearman	>500 kb	raw T−G RNA interaction	975	-0.011501035372061656	-0.07495355721781335	0.0521498344425147	Spearman rho	Contact-edge-cluster bootstrap 95% interval.
4F	>500_kb_log2_contact_spearman	>500 kb	normalized log2(T/G) interaction	975	0.0027190439950379947	-0.05912354553039363	0.06442879205371337	Spearman rho	Contact-edge-cluster bootstrap 95% interval.
4E	clean_overall_raw_fraction_positive	clean ≤500 kb	raw high-minus-low T−G RNA interaction	774	0.603359173126615	0.5662805662805663	0.6382428940568475	fraction	Contact-edge-cluster bootstrap 95% interval.
4E	clean_overall_median_log2_interaction	clean ≤500 kb	normalized log2(T/G) interaction	774	0.00069327363902635			log2 units	Per-site value is log2[(T+0.001)/(G+0.001)]; interaction is high minus mean low.
