panel	release_asset	sha256	legacy_asset	operation
1B	figures/rendered/Figure1B.pdf	e3bbe22f54bb101db938b62fa3b7ea005811ab248d63aa7d084d7af76904a3ba	investigation/SORT1_cholesterol_musunuru_2010/report/panel_tracks/panel_a_sort1_locus_rnaseq_cebp.pdf	byte-identical copy
1C	figures/rendered/Figure1C.pdf	e9e8a77947aad4691b6665ca419ce60dbf645be0c80aacfb9a8ec7f7f8455713	investigation/SORT1_cholesterol_musunuru_2010/report/panel_eQTL/gene_mask_lfc_v13/figure1c_gene_mask_lfc_ld_tagging_v13.pdf	byte-identical copy
1D	figures/rendered/Figure1D.svg	81a308dd50ad219214277fad1532940f16f8f2536617ee68149ac6d99d72e837	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/figure1_square_panels/Figure1D_observed_HepG2_HiC_EXPERIMENTAL.svg	byte-identical copy
1E	figures/rendered/Figure1E.svg	091ead24ccaa7f68e63d423ec6b186c5c350f1ea150f7a24976ed1805e7b32c1	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/figure1_square_panels/Figure1E_AlphaGenome_FOLD0_contact_PREDICTED.svg	byte-identical copy
1F	figures/rendered/Figure1F.svg	cdabf272a40d30a74187c99bcc85e98f63deebf36a6899d682a902ce0eaf1cd8	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/figure1_square_panels/Figure1F_promoter_contact_percentiles_QUANTIFICATION.svg	byte-identical copy
2B	figures/rendered/Figure2B.svg	6b6a68bbcd74b069622fb11017665cab08f48ba666f76ca96ee7064c6af82589	investigation/SORT1_cholesterol_musunuru_2010/report/panel_wang_et_al_indels/results/figures/fused_human_mouse_target4_repair_outcome_percent_change_heatmap_top50.svg	byte-identical copy
2C	figures/rendered/Figure2C.svg	870576c0b5bca8ae0f73179ff05a842d3648866dd6fe74cd195c7e7d89e7a0e4	investigation/SORT1_cholesterol_musunuru_2010/report/panel_wang_et_al_indels/synthetic_cutsite_scan/results/figures/Figure2C_deletion_grid_track4.svg	byte-identical copy
2E	figures/rendered/Figure2E.svg	0ede5872ac3cb0be96858b2df2dec781e2f5399fa191dd2fd23cb4942cbc98c1	investigation/SORT1_cholesterol_musunuru_2010/report/panel_kircher/kircher_t_background/figures/kircher_ag_t_background_signed_rna_atac_h3k27ac_with_rs127_300x210.svg	byte-identical copy
2F	figures/rendered/Figure2F.svg	9c448dcc15304195830eb58b94412779c03bd28d530df86d3fd9aebe005672a4	investigation/SORT1_cholesterol_musunuru_2010/report/panel_kircher_multielement/Figure2F_Kircher_multielement_DNase_ATAC_forest.svg	byte-identical copy
3A	figures/rendered/Figure3A.svg	3bc97da74d2e336e9a4ea67fe56463e6cda212f6bc78bdfb62a304c8c3cda74e	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_A_regional_coordinated_ism/Figure3A_regional_coordinated_RNA_ISM.svg	byte-identical copy
3B	figures/rendered/Figure3B.svg	f1e63707ebc0e47cfc27185caf5a18a1a6a5357cd3bfeb642e6e50b24bb97d25	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_B_base_substitution_501bp/Figure3B_501bp_THREE_GENE_MEAN_WITH_FROZEN_HOTSPOTS.svg	byte-identical copy
3C	figures/rendered/Figure3C.svg	a190ea65631fa9e7fc979ae57693ff8f6d52b20153041161029bd05506fa9f3a	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_C_motif_family_disruption/Figure3C_PWM_disruption.svg	byte-identical copy
4B	figures/rendered/Figure4B.svg	3e4ea480e60fd4522aa50ebf8244ceef9aa30da3a4a091f4535ec6a269d07668	investigation/SORT1_cholesterol_musunuru_2010/report/figure4_portability_315bp/panel_distance_response/Figure4_portability_315bp_distance_response.svg	byte-identical copy
4C	figures/rendered/Figure4C.svg	cb4afaccd77721180b98224df590ac89241cb9ed3cac2088633c359838fc3ca1	investigation/SORT1_cholesterol_musunuru_2010/report/figure4_portability_315bp/panel_C_fold_change_by_cohort/Figure4C_315bp_fold_change_by_HPA_cohort.svg	byte-identical copy
4E	figures/rendered/Figure4E.svg	4bb86bc1d75a6471ed25d21c89b2f412a51043bd9d8b383715e9d4312632e34d	investigation/SORT1_cholesterol_musunuru_2010/report/panel_distal_hic_transfer/plots/panel_A_distance_fraction_positive.svg	byte-identical copy
4F	figures/rendered/Figure4F.svg	6c096115d3e9cd70174e9b1055289fac2e80883329764bd6a25d4868e953449b	investigation/SORT1_cholesterol_musunuru_2010/report/panel_distal_hic_transfer/plots/panel_B2_contact_dose_response_five_distance_bands_no_ci.svg	byte-identical copy
4G	figures/rendered/Figure4G.svg	9970d04ca892b0c093ec1480d086ca354c9fccb4a455ab8a5e46eaef609b081a	investigation/SORT1_cholesterol_musunuru_2010/report/panel_TF_insertion/revised_figure4_panels/Figure4A_rs12740374_tissue_RNA_heatmap.svg	byte-identical copy
4H	figures/rendered/Figure4H.svg	3dd6a347d3ce85b40a07f791b49e34dc1b3a1a634488e31f12c608f4af0b5bf9	investigation/SORT1_cholesterol_musunuru_2010/report/panel_TF_insertion/revised_figure4_panels/Figure4B_full_region_tissue_coordinated_RNA.svg	byte-identical copy
4I	figures/rendered/Figure4I.svg	5f41729e64ae5502576845526e37924b92d1d56e0eef8f68aa6c7a0b05f6d646	investigation/SORT1_cholesterol_musunuru_2010/report/panel_TF_insertion/revised_figure4_panels/Figure4C_simple_motif_replacement_schematic.svg	byte-identical copy
4J	figures/rendered/Figure4J.svg	47c66c0a4e66ed59ab6b3c2f7a0b5a42ab084e533d77d42a3fbbadf58855f825	investigation/SORT1_cholesterol_musunuru_2010/report/panel_TF_insertion/revised_figure4_panels/Figure4D_corrected_discovery_panel_Inkscape/Figure4D_ALL_FOLDS_discovery_raw_sumdelta_positive_orientation.svg	byte-identical copy
S1A	figures/rendered/FigureS1A.svg	0dc8610ba22d0af655bac0a478361e9b0b23c9b50b2e77cf9d94a1cb01fe5345	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_observed_virtual4c/figure1_contact_observed_virtual4c.svg	byte-identical copy
S1B	figures/rendered/FigureS1B.svg	3495f66ad58b8d9e8b361f8b4855afcd2122551b92817d885b263457d32c13f0	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_contact_resolution_sensitivity/figure1_contact_resolution_sensitivity.svg	byte-identical copy
S1C	figures/rendered/FigureS1C.svg	6be349a54338a0d159d6d866214cc33fe13864bbeb9673b6183a365d86a12fd9	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_contact_allele_delta_control/figure1_contact_allele_delta_control.svg	byte-identical copy
S1D	figures/rendered/FigureS1D.svg	7a25c2901945bd0f42e75ced284e3feb6667f294ad114116fcb02a174055134a	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_contact_cross_context/figure1_contact_cross_context.svg	byte-identical copy
S4A	figures/rendered/FigureS4A.svg	071755fbc7f287e685c1e59e5aa29bfcfe12917c51fffb582f9ec888098fb422	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s4_wang_repair_weighting/FigureS4A_Wang_sequencing_depth.svg	byte-identical copy
S4B	figures/rendered/FigureS4B.svg	e85d8608f1cf7eebbcf1bfe82ba507e59b95241beb22e1243a6fe40d0ba7ad7f	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s4_wang_repair_weighting/FigureS4B_frequency_weighted_all_repair_outcomes.svg	byte-identical copy
S4C	figures/rendered/FigureS4C.svg	a81cb5998145a42979589bf51279188aeb55f5f7b14b88f5d109613467957a48	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/archive_s4_crispr_motif_and_insertions_before_split/figureS4B_selected_systematic_deletion_alignment.svg	byte-identical copy
S4D	figures/rendered/FigureS4D.svg	81cc8ae8a98132e7d1f04f7ab8aacbec80223e5ea24202c7ad894c7af2e4a823	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/archive_s4_crispr_motif_and_insertions_before_split/figureS4C_selected_systematic_deletion_rna_effects.svg	byte-identical copy
S5A	figures/rendered/FigureS5A.svg	2eb16253ca24b91293368938f12a9330e6104d41a3de562d24023a16883c14ce	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/FigureS5A_RNA_substitutions_ALL_FOLDS_vs_FOLD0.svg	byte-identical copy
S5D	figures/rendered/FigureS5D.svg	da279cc1e0059bba082693df5d8d24b7ba94b4dd44a9889a5fa42b69f19c7f96	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/FigureS5C_RNA_deletions_ALL_FOLDS_vs_FOLD0.svg	byte-identical copy
S2A-C	figures/rendered/FigureS2/FigureS2A.svg	35e68be816a3755138741061bfd4856c1f7390549f2e9f68c9db63e30c221928	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_fold0_variant_prioritization/figureS1A_gtex_vs_rs127_ld_tagging_all_folds.svg	byte-identical component copy
S2A-C	figures/rendered/FigureS2/FigureS2B.svg	7eb498f5aa61f9f02fbe1dce5fcb7d7e629a74a381b08dd260e5f0c333d76f63	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_fold0_variant_prioritization/figureS1B_gtex_vs_rs127_ld_tagging_fold_0.svg	byte-identical component copy
S2A-C	figures/rendered/FigureS2/FigureS2C.svg	0a803b9d12c703ce615e6b75c93f4f57004bdabfb02ab7b10f78b5277f1e76d3	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_fold0_variant_prioritization/figureS1C_all_folds_vs_fold0.svg	byte-identical component copy
S3A-G	figures/rendered/FigureS3/FigureS3A.svg	2e79bf1fcdeb17233017ce04c4a6edf188e38669bca78a927710fa4ba7fbc0dd	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s2_caqtl_locus/figureS2A_observed_caqtl.svg	byte-identical component copy
S3A-G	figures/rendered/FigureS3/FigureS3B.svg	5eddba19cfea43088fabd0d5b80f7b671c64337fed34fe268a4c082ea1c42b0f	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s2_caqtl_locus/figureS2B_all_folds_direct_atac.svg	byte-identical component copy
S3A-G	figures/rendered/FigureS3/FigureS3C.svg	3d6cffddc301ebd49834a1ab8e7007ea41fb71fb66db619cf01bf0b723c0b765	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s2_caqtl_locus/figureS2C_all_folds_tagging.svg	byte-identical component copy
S3A-G	figures/rendered/FigureS3/FigureS3D.svg	35d2d54cca8e0ce3c4d0009c448fa6f4a2838472b71ea83528eaf30296a300ae	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s2_caqtl_locus/figureS2D_observed_vs_all_folds_tagging.svg	byte-identical component copy
S3A-G	figures/rendered/FigureS3/FigureS3E.svg	23de403d3e4496723c42b683af774d0bd59fb2f5e41ab8046c0f68d423798aa9	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s2_caqtl_locus/figureS2E_fold0_direct_atac.svg	byte-identical component copy
S3A-G	figures/rendered/FigureS3/FigureS3F.svg	7e4c8a7889a9909ecef72b6733d37de6c1c6ab1731a78ef4f6eeaf753f06b66e	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s2_caqtl_locus/figureS2F_fold0_tagging.svg	byte-identical component copy
S3A-G	figures/rendered/FigureS3/FigureS3G.svg	7aad7d3d6781e5203089e03c886bb7f26d05a6f1e5876e9e7fac1a603284554f	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s2_caqtl_locus/figureS2G_observed_vs_fold0_tagging.svg	byte-identical component copy
S6A-C	figures/rendered/FigureS6/FigureS6A.svg	4a59225633f0426702f27167457ca10f617817a0178f9a34d79b6c37621a3904	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s6_kircher_other_loci_model_comparison/FigureS6A_DNase_ALL_FOLDS_vs_matched_heldout.svg	byte-identical component copy
S6A-C	figures/rendered/FigureS6/FigureS6B.svg	0a4be81f7d05375d5d7e84208a3e723c8601ea38067f3f1a5275371bc12f080b	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s6_kircher_other_loci_model_comparison/FigureS6B_ATAC_ALL_FOLDS_vs_matched_heldout.svg	byte-identical component copy
S6A-C	figures/rendered/FigureS6/FigureS6C.svg	888a1832ee5d2a12aa11ca7959ce18dce52547cb5c23b0d59160209b1b5eb026	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s6_kircher_other_loci_model_comparison/FigureS6C_accessibility_correlation_model_comparison.svg	byte-identical component copy
S8A-E	figures/rendered/FigureS8/FigureS8A.svg	5ae9f619441de606cdc95308d05e71c16bb151682a97727651c2ba149a568b61	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s9_scramble_boundary_robustness/FigureS9A_three_gene_directional_recovery.svg	byte-identical component copy
S8A-E	figures/rendered/FigureS8/FigureS8B.svg	f30335a4981aaa94ee0528dd432de3c3bd42e68a93e11189aeea06399b0ac3dd	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s9_scramble_boundary_robustness/FigureS9B_three_gene_arm_necessity_ALL_FOLDS_FOLD0.svg	byte-identical component copy
S8A-E	figures/rendered/FigureS8/FigureS8C.svg	a034f46f3d86da9ac72d1fc3c1c8007cc6220493ce2461465f4cdb09f8677dbc	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s9_scramble_boundary_robustness/FigureS9C_complete_2816_window_heatmap.svg	byte-identical component copy
S8A-E	figures/rendered/FigureS8/FigureS8D.svg	1c8cb6d640f90aaeccf9a299efbc955890866249c9367dfc492eedfbf4de0e34	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s9_scramble_boundary_robustness/FigureS9D_seed_level_313_314_315bp_thresholds.svg	byte-identical component copy
S8A-E	figures/rendered/FigureS8/FigureS8E.svg	17d4b39f19eeaeb84f3c6a822e449b91b9cca54ad5f67e25601fcc2728cfe883	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s9_scramble_boundary_robustness/FigureS9E_final_315bp_three_gene_seed_distributions.svg	byte-identical component copy
S9A-E	figures/rendered/FigureS9/FigureS9A.svg	7c938bc55222960f3167a8404b2ec59f2daaebf11b5caba45dd87a161030d2f1	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s10_module_transfer_controls/panel_A_HPA_vs_AlphaGenome_native_RNA/FigureS10A_HPA_liver_vs_AlphaGenome_native_RNA.svg	byte-identical component copy
S9A-E	figures/rendered/FigureS9/FigureS9B.svg	0fef203f9076efe01ea940afbd80ce24cdbac7463b79e3882c39cecc64fdf6cc	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s10_module_transfer_controls/panel_B_distance_distributions/FigureS10B_T_minus_G_distribution_by_distance.svg	byte-identical component copy
S9A-E	figures/rendered/FigureS9/FigureS9C.svg	bf32fbcfe33e8f7f3eaeca603914abbdf5a13213c0f6fd53145068fc9fee9880	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s10_module_transfer_controls/panel_C_paired_T_minus_G/FigureS10C_paired_T_minus_G_by_HPA_cohort.svg	byte-identical component copy
S9A-E	figures/rendered/FigureS9/FigureS9D.svg	ab0a4c8c9b4f220e872a526bcd735835a644f3ddf1abfef708af60ffa62aab94	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s10_module_transfer_controls/panel_D_native_vs_absolute_effect/FigureS10D_native_RNA_vs_absolute_T_minus_G.svg	byte-identical component copy
S9A-E	figures/rendered/FigureS9/FigureS9E.svg	93806754c61a0494a78a99939127aaafcc9ec4f33fbe3ebb383041f34495b2f4	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s10_module_transfer_controls/panel_E_native_vs_relative_effect/FigureS10E_native_RNA_vs_relative_T_over_G.svg	byte-identical component copy
S10A-B	figures/rendered/FigureS10/FigureS10A.svg	a00732436ddb869814975b3c506bcd0dd2046b5bf731d930bd201834bc363cc4	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s11_distal_and_context_controls/FigureS11A_contact_associated_RNA_by_50kb_distance.svg	byte-identical component copy
S10A-B	figures/rendered/FigureS10/FigureS10B.svg	da67d8d8d5294b2e3ca306b07b3799bf0fa5e0f6f7b760799424ee1f011942f5	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s11_distal_and_context_controls/FigureS11B_rs12740374_tissue_replication_ALL_FOLDS_FOLD0.svg	byte-identical component copy
S7	figures/rendered/FigureS7.svg	515e0c5cbbe18d35f90f8a92cfdcc64023faaa59d236c538ee4d7da2a05af927	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s8_native_sequence_sensitivity/FigureS8B_ALL_FOLDS_vs_FOLD0_hotspot_audit.svg	byte-identical copy with final-number rename
