element	n	spearman_rho	spearman_p	spearman_ci_low	spearman_ci_high	pearson_r	pearson_p	direction_agreement	modality	cell_line
F9	885	0.47383454114923224	9.934740177246079e-51	0.4210823442903831	0.5233920001536209	0.35129132564605586	4.220599294194076e-27	0.6813559322033899	DNASE	HepG2
F9	885	0.4765381857403055	2.2821399028599434e-51	0.4239511058642162	0.5259229090006375	0.3144953559239459	9.069357923592528e-22	0.6768361581920904	ATAC	HepG2
FOXE1	1790	0.04542004436744993	0.05469412370318804	-0.0009140600733587026	0.09155954645263817	0.03531170145336624	0.13533162265619497	0.5111731843575419	DNASE	HeLa-S3
LDLR	949	0.33611215065542727	1.7065294286879338e-26	0.2784287180753177	0.3913795830698559	0.5847681522308285	3.892167907330382e-88	0.5943097997892518	DNASE	HepG2
LDLR	949	0.35155821446128593	5.440499324651956e-29	0.29450821282820966	0.4061113410772758	0.625852873416834	2.506236059501044e-104	0.5932560590094836	ATAC	HepG2
MYC_rs11986220	1369	0.17206899380083873	1.4686931124986001e-10	0.1201831863899919	0.22301731741899963	0.11379785890007557	2.438790503840076e-05	0.5675675675675675	DNASE	LNCaP clone FGC
PKLR	1376	0.6323839414272215	1.4667226010506679e-154	0.5995748145875213	0.6630710702690197	0.8375043649578275	0.0	0.6954941860465116	DNASE	K562
PKLR	1376	0.630794541029482	1.4587527399999381e-153	0.5978785064938708	0.661586841174669	0.8355961966947973	0.0	0.6947674418604651	ATAC	K562
SORT1	1784	0.689441013292506	7.196085389651105e-252	0.6642861223565589	0.713036053173136	0.7301976188402742	4.147993052170766e-297	0.7449551569506726	DNASE	HepG2
SORT1	1784	0.62639098815896	5.06401696770093e-195	0.5973462966318072	0.6537946780762852	0.6489311467339247	8.627385778729024e-214	0.7006726457399103	ATAC	HepG2
