arm	series	extent_bp	mean_retention	sem_retention
Upstream	SORT1	0	0.03472538244825971	
Upstream	SORT1	2	0.043107381472175334	
Upstream	SORT1	5	0.031201396669000375	
Upstream	SORT1	10	0.0447668833687966	
Upstream	SORT1	20	0.04139126455852341	
Upstream	SORT1	40	0.07089907726864318	
Upstream	SORT1	80	0.13646527538056294	
Upstream	SORT1	120	0.3247026857231395	
Upstream	SORT1	160	0.2561234822256446	
Upstream	SORT1	220	0.3940047475713196	
Upstream	SORT1	300	0.4269369759219836	
Upstream	SORT1	400	0.46382645794989374	
Upstream	SORT1	600	0.44786393641072103	
Upstream	SORT1	800	0.4818697724550094	
Upstream	SORT1	1000	0.4545246312224945	
Upstream	PSRC1	0	0.008693537805165226	
Upstream	PSRC1	2	0.010156282499383962	
Upstream	PSRC1	5	0.007287319445561187	
Upstream	PSRC1	10	0.015404620934248337	
Upstream	PSRC1	20	0.009504237949844424	
Upstream	PSRC1	40	0.051266362640552426	
Upstream	PSRC1	80	0.08340735855422575	
Upstream	PSRC1	120	0.22442631488661374	
Upstream	PSRC1	160	0.22814546642071545	
Upstream	PSRC1	220	0.3349234633360688	
Upstream	PSRC1	300	0.33965104966816656	
Upstream	PSRC1	400	0.41840209056272926	
Upstream	PSRC1	600	0.4648681354576692	
Upstream	PSRC1	800	0.49210921307253097	
Upstream	PSRC1	1000	0.49867160223303586	
Upstream	CELSR2	0	0.015950064857989176	
Upstream	CELSR2	2	0.0175321381657702	
Upstream	CELSR2	5	0.01805319151540411	
Upstream	CELSR2	10	0.02855379410550295	
Upstream	CELSR2	20	0.022726674190716487	
Upstream	CELSR2	40	0.047676248858365675	
Upstream	CELSR2	80	0.06781475750194652	
Upstream	CELSR2	120	0.23082574246898957	
Upstream	CELSR2	160	0.21773490119693029	
Upstream	CELSR2	220	0.3272612265414521	
Upstream	CELSR2	300	0.3294180861484865	
Upstream	CELSR2	400	0.4009311246275132	
Upstream	CELSR2	600	0.4454317960982234	
Upstream	CELSR2	800	0.49751882048353263	
Upstream	CELSR2	1000	0.45569750050130853	
Upstream	3-gene mean	0	0.019789661703804702	0.009519359069374731
Upstream	3-gene mean	2	0.023598600712443168	0.008217362226952147
Upstream	3-gene mean	5	0.01884730254332189	0.006149499640298411
Upstream	3-gene mean	10	0.029575099469515965	0.008941571878064252
Upstream	3-gene mean	20	0.024540725566361443	0.008824157133890086
Upstream	3-gene mean	40	0.05661389625585376	0.013629170791450733
Upstream	3-gene mean	80	0.0958957971455784	0.03736294014048698
Upstream	3-gene mean	120	0.25998491435958093	0.07671061102809752
Upstream	3-gene mean	160	0.2340012832810968	0.07079364826819212
Upstream	3-gene mean	220	0.3520631458162802	0.06854311347934886
Upstream	3-gene mean	300	0.36533537057954557	0.06813501822324254
Upstream	3-gene mean	400	0.42771989104671204	0.06620135633986726
Upstream	3-gene mean	600	0.45272128932220457	0.06435970375376807
Upstream	3-gene mean	800	0.49049926867035765	0.062465951278787436
Upstream	3-gene mean	1000	0.4696312446522796	0.0597606141370094
Downstream	SORT1	0	0.03472538244825971	
Downstream	SORT1	10	0.06640282788015325	
Downstream	SORT1	20	0.030610788811313048	
Downstream	SORT1	40	0.02916991722640924	
Downstream	SORT1	80	0.032877213047960485	
Downstream	SORT1	120	0.028870539381125326	
Downstream	SORT1	160	0.04228790164237891	
Downstream	SORT1	220	0.04685704116799095	
Downstream	SORT1	300	0.04266162638397026	
Downstream	SORT1	400	0.033593703461545964	
Downstream	SORT1	600	0.024383150821283076	
Downstream	SORT1	800	0.04489067858127321	
Downstream	SORT1	1000	0.0399952551555583	
Downstream	PSRC1	0	0.008693537805165226	
Downstream	PSRC1	10	0.013012566382186588	
Downstream	PSRC1	20	0.007933338638361175	
Downstream	PSRC1	40	0.005956855595207109	
Downstream	PSRC1	80	0.0038853291802532124	
Downstream	PSRC1	120	0.007346659860735437	
Downstream	PSRC1	160	0.0091210628420513	
Downstream	PSRC1	220	0.010551567725076837	
Downstream	PSRC1	300	0.01205665016883425	
Downstream	PSRC1	400	0.011880466490821825	
Downstream	PSRC1	600	0.01571236816053276	
Downstream	PSRC1	800	0.016122655022646412	
Downstream	PSRC1	1000	0.015637283324945187	
Downstream	CELSR2	0	0.015950064857989176	
Downstream	CELSR2	10	0.03417475574031386	
Downstream	CELSR2	20	0.011653712428502125	
Downstream	CELSR2	40	0.012091851856982588	
Downstream	CELSR2	80	0.009785885921644637	
Downstream	CELSR2	120	0.013414477534154163	
Downstream	CELSR2	160	0.0159964384094682	
Downstream	CELSR2	220	0.013017495767251138	
Downstream	CELSR2	300	0.01790006281130766	
Downstream	CELSR2	400	0.015457107372310538	
Downstream	CELSR2	600	0.01536128187723965	
Downstream	CELSR2	800	0.02208051944110181	
Downstream	CELSR2	1000	0.019726067487193688	
Downstream	3-gene mean	0	0.019789661703804702	0.009519359069374731
Downstream	3-gene mean	10	0.0378633833342179	0.01718136992010529
Downstream	3-gene mean	20	0.016732613292725452	0.0038252289770510923
Downstream	3-gene mean	40	0.015739541559532978	0.004196176469512985
Downstream	3-gene mean	80	0.015516142716619446	0.0027805267051177187
Downstream	3-gene mean	120	0.01654389225867164	0.0021346123967424103
Downstream	3-gene mean	160	0.02246846763129947	0.006026571064228809
Downstream	3-gene mean	220	0.023475368220106308	0.0055843393272544915
Downstream	3-gene mean	300	0.024206113121370727	0.00398282758958879
Downstream	3-gene mean	400	0.020310425774892775	0.0049935115673316694
Downstream	3-gene mean	600	0.01848560028635183	0.003839711250840308
Downstream	3-gene mean	800	0.027697951015007147	0.007263742893748868
Downstream	3-gene mean	1000	0.025119535322565726	0.007137069435493513
