distance_stratum	distance_midpoint_kb	contact_quintile	n	n_clusters	median_contact_contrast	fraction	ci_low	ci_high
50–150	100.0	1	31	28	0.9418042302131652	0.5483870967741935	0.3548387096774194	0.7419354838709677
50–150	100.0	2	30	29	1.6449143439531326	0.6666666666666666	0.5161290322580645	0.8275862068965517
50–150	100.0	3	30	26	2.0776818320155144	0.7333333333333333	0.5172413793103449	0.9120475113122156
50–150	100.0	4	30	27	2.5617564916610718	0.7333333333333333	0.5713095238095238	0.8823529411764706
50–150	100.0	5	30	25	4.324485190212727	0.8666666666666667	0.7241379310344828	0.9696969696969697
150–300	225.0	1	64	56	1.3197172619402409	0.453125	0.32306451612903225	0.5806451612903226
150–300	225.0	2	63	54	1.8798385858535769	0.6190476190476191	0.49206349206349204	0.741393214682981
150–300	225.0	3	64	59	2.5678640604019165	0.625	0.5079365079365079	0.7392005610098172
150–300	225.0	4	63	56	3.3219266682863235	0.6984126984126984	0.578125	0.8166666666666667
150–300	225.0	5	64	57	5.892982870340347	0.609375	0.4696969696969697	0.746031746031746
300–500	400.0	1	72	66	1.7256589233875275	0.4305555555555556	0.3150684931506849	0.5492957746478874
300–500	400.0	2	71	65	2.293000668287277	0.4647887323943662	0.35714285714285715	0.5714285714285714
300–500	400.0	3	72	62	2.9723046720027924	0.5694444444444444	0.4507042253521127	0.6842105263157895
300–500	400.0	4	71	61	3.940975129604339	0.704225352112676	0.6	0.8
300–500	400.0	5	72	65	5.562409847974777	0.6111111111111112	0.4931506849315068	0.7285714285714285
500–750	625.0	1	91	85	2.139669567346573	0.5274725274725275	0.4175824175824176	0.6304347826086957
500–750	625.0	2	91	83	2.838395118713379	0.5274725274725275	0.4270833333333333	0.6304785107446275
500–750	625.0	3	90	86	3.612690895795822	0.45555555555555555	0.34830239374694677	0.5625179597701149
500–750	625.0	4	91	85	4.4580159187316895	0.6153846153846154	0.5164835164835165	0.7127685906888561
500–750	625.0	5	91	77	7.17926549911499	0.5384615384615384	0.43474637681159417	0.6413431677018631
750–1,000	875.0	1	116	102	2.4775929152965546	0.5172413793103449	0.4285409035409035	0.6068376068376068
750–1,000	875.0	2	116	110	3.4726412296295166	0.5	0.4117647058823529	0.589782608695652
750–1,000	875.0	3	115	104	4.4501423835754395	0.45217391304347826	0.35833333333333334	0.5431085392343199
750–1,000	875.0	4	116	109	5.784675598144531	0.4827586206896552	0.3912778366914104	0.5726495726495726
750–1,000	875.0	5	116	107	9.282835960388184	0.49137931034482757	0.4017094017094017	0.5819832501781895
