distance_bin_kb	n	median_primary_interaction_rna	q25_primary_interaction_rna	q75_primary_interaction_rna	fraction_positive
0-50	0				
50-100	54	0.0003825708037034	8.21287188740095e-05	0.001695936675433725	0.8148148148148148
100-150	97	0.0001158434222621	-3.104003371770525e-05	0.0007635781661422	0.6494845360824743
150-200	108	1.3094943481226254e-07	-5.081791736218002e-05	0.000183731221441275	0.5277777777777778
200-250	87	3.4133655886259577e-07	-6.506203620513639e-05	2.1288391881229402e-05	0.5287356321839081
250-300	123	5.690239026995416e-06	-3.3129826293625605e-06	0.0003150224458323	0.7154471544715447
300-350	104	1.7222011031652493e-08	-3.539746582060751e-05	2.8643311520213125e-05	0.5288461538461539
350-400	92	1.290173925576771e-07	-1.2757775767847056e-05	5.5995039727360814e-05	0.5652173913043478
400-450	83	1.2314411021307522e-07	-2.573868119348441e-05	3.1635307981620585e-05	0.5421686746987951
450-500	79	3.11333812120843e-07	-7.406972802362268e-06	1.9071381095286033e-05	0.5949367088607594
500-550	81	5.5167419936948464e-08	-1.6880099459395947e-06	3.559152158629994e-05	0.5802469135802469
550-600	106	-9.875817361414506e-09	-1.1409836944860246e-05	2.328158367921867e-05	0.4811320754716981
600-650	91	3.400995804493947e-09	-3.6653706310909705e-05	1.1000146701946323e-05	0.5274725274725275
650-700	89	1.0394182211059909e-07	-9.115130804205436e-06	9.99680161363481e-06	0.5617977528089888
700-750	87	2.381892101903867e-09	-7.180619808654564e-06	5.903965308219671e-06	0.5287356321839081
750-800	116	-4.8059811360560364e-08	-8.873380242655702e-06	1.9497441375764598e-06	0.4396551724137931
800-850	95	6.915300464257306e-08	-3.98425934854517e-06	1.0959467888130205e-05	0.5789473684210527
850-900	108	9.452986205000355e-10	-9.644071980511452e-06	1.0242336452842083e-05	0.5185185185185185
900-950	120	4.9610986360894225e-09	-3.9079338827313886e-06	1.3119736842363134e-05	0.525
950-1000	140	-1.0335315270674487e-07	-2.270185503791837e-05	9.660104803771665e-07	0.4142857142857143
