peak_group	regime	model	n	pearson_r	spearman_rho
driver_peak15120	ALL_FOLDS	direct	80	0.14387382281564604	-0.05227038307887156
driver_peak15120	ALL_FOLDS	tagging	80	0.9163633006842172	0.9173723730563202
driver_peak15120	FOLD_0	direct	80	0.15349898183597752	-0.11765809063773315
driver_peak15120	FOLD_0	tagging	80	0.9194315897075963	0.9227054563448152
focal5_ivw	ALL_FOLDS	direct	80	0.1648705357594597	-0.06747775943342843
focal5_ivw	ALL_FOLDS	tagging	80	0.9163889476189707	0.8887039591238767
focal5_ivw	FOLD_0	direct	80	0.17461931961496122	-0.08724037695756104
focal5_ivw	FOLD_0	tagging	80	0.9194806282439593	0.8941307472997935
set539_ivw	ALL_FOLDS	direct	80	0.1694243606468028	-0.034928560554388866
set539_ivw	ALL_FOLDS	tagging	80	0.9106419862026202	0.8744981982832483
set539_ivw	FOLD_0	direct	80	0.17691986095558088	-0.09511697689246376
set539_ivw	FOLD_0	tagging	80	0.9128774807987702	0.8777448944489695
