gene_symbol,display_group,n_designs,median_rna_change_percent,mean_rna_change_percent,min_rna_change_percent,max_rna_change_percent
CELSR2,d0_intact,10,1.171597128730915,1.3338212844676671,-0.6585380670472301,6.32491960564141
CELSR2,d1_disrupted,7,-3.26060117931323,-3.6812735664580827,-10.373101350782001,0.57143193081674
CELSR2,d1_restored,3,1.17544292833388,2.8575924086038698,1.07241469183632,6.32491960564141
CELSR2,d2_disrupted,10,-13.89081995387,-12.35057721287799,-18.20848936991596,-2.3230344289698
PSRC1,d0_intact,10,3.4127152487324803,3.907727564144475,-2.67625128450707,12.3619913102238
PSRC1,d1_disrupted,7,-3.7055357946026,-2.5169865779058185,-13.62365063542975,7.644205425505721
PSRC1,d1_restored,3,0.25842184465949997,4.1902570989357635,-0.04964185807601001,12.3619913102238
PSRC1,d2_disrupted,10,-15.711186683119486,-13.764565381347216,-20.57010132920733,-1.1648136234406101
SORT1,d0_intact,10,-3.8589146877325797,-3.902821633278216,-8.36530327882206,1.0257657149292099
SORT1,d1_disrupted,7,-5.83011826638139,-5.335215973958593,-9.42886097997212,-1.8700074372596
SORT1,d1_restored,3,-2.73384052524697,-2.9405046363030567,-4.67080799424056,-1.41686538942164
SORT1,d2_disrupted,10,-6.32123014508127,-6.01560763553505,-10.51703644446244,-2.6570116403179402
