element	n	spearman_rho	spearman_p	spearman_ci_low	spearman_ci_high	pearson_r	pearson_p	direction_agreement	modality	cell_line	model	model_version
F9	885	0.4738345411492322	9.93474017724608e-51	0.4210823442903831	0.5233920001536209	0.3512913256460558	4.220599294194076e-27	0.6813559322033899	DNASE	HepG2	ALL_FOLDS	
F9	885	0.4765381857403055	2.282139902859943e-51	0.4239511058642162	0.5259229090006375	0.3144953559239459	9.069357923592528e-22	0.6768361581920904	ATAC	HepG2	ALL_FOLDS	
FOXE1	1790	0.0454200443674499	0.054694123703188	-0.0009140600733587	0.0915595464526381	0.0353117014533662	0.1353316226561949	0.5111731843575419	DNASE	HeLa-S3	ALL_FOLDS	
LDLR	949	0.3361121506554272	1.7065294286879338e-26	0.2784287180753177	0.3913795830698559	0.5847681522308285	3.892167907330382e-88	0.5943097997892518	DNASE	HepG2	ALL_FOLDS	
LDLR	949	0.3515582144612859	5.440499324651956e-29	0.2945082128282096	0.4061113410772758	0.625852873416834	2.5062360595010442e-104	0.5932560590094836	ATAC	HepG2	ALL_FOLDS	
MYC_rs11986220	1369	0.1720689938008387	1.4686931124986e-10	0.1201831863899919	0.2230173174189996	0.1137978589000755	2.438790503840076e-05	0.5675675675675675	DNASE	LNCaP clone FGC	ALL_FOLDS	
PKLR	1376	0.6323839414272215	1.4667226010506679e-154	0.5995748145875213	0.6630710702690197	0.8375043649578275	0.0	0.6954941860465116	DNASE	K562	ALL_FOLDS	
PKLR	1376	0.630794541029482	1.4587527399999381e-153	0.5978785064938708	0.661586841174669	0.8355961966947973	0.0	0.6947674418604651	ATAC	K562	ALL_FOLDS	
F9	885	0.4391630061990016	5.024841599297215e-43	0.3843866635250655	0.4908579346980238	0.3867313964752895	5.9717277661906306e-33	0.6689265536723163	DNASE	HepG2	matched held-out	FOLD_0
F9	885	0.4394891553850343	4.2925401578393284e-43	0.3847310488990777	0.491164650271948	0.3750665247146937	6.0578178252816575e-31	0.6745762711864407	ATAC	HepG2	matched held-out	FOLD_0
FOXE1	1790	0.0396212428832937	0.0937777479731707	-0.0067232801855219	0.0857959248768645	0.0514989717964948	0.0293493215843475	0.5039106145251396	DNASE	HeLa-S3	matched held-out	FOLD_1
LDLR	949	0.4912140691934656	8.639837210104625e-59	0.4413725580778185	0.538033911546504	0.7208584536717035	6.006175575972052e-153	0.6364594309799789	DNASE	HepG2	matched held-out	FOLD_3
LDLR	949	0.4460671389941104	1.3759805605388378e-47	0.3936014270966103	0.4956363591401337	0.7089119703981275	9.352084122114274e-146	0.6174920969441517	ATAC	HepG2	matched held-out	FOLD_3
MYC_rs11986220	1369	0.1235223267221984	4.567864836466652e-06	0.0710055617136022	0.1753561803373731	0.0958844323157116	0.0003813404116891	0.5434623813002192	DNASE	LNCaP clone FGC	matched held-out	FOLD_1
PKLR	1376	0.5557625982433636	2.311681404735909e-112	0.5181337609275106	0.5912441757999841	0.7878169674285911	1.7076790228400353e-291	0.6795058139534884	DNASE	K562	matched held-out	FOLD_2
PKLR	1376	0.5363426055939476	2.497032581704246e-103	0.4976000141844254	0.5729495049116551	0.7832727987920011	6.279075662034229e-286	0.6649709302325582	ATAC	K562	matched held-out	FOLD_2
