condition,arm,extent_bp,gene,n_seeds,mean_delta_liver,sd_delta_liver,mean_retention,median_retention,sd_retention,min_retention,max_retention,positive_delta_fraction
downstream_recovery,downstream,10,CELSR2,8,8.568637808379102e-05,0.00011440828912128219,0.034174755740313915,0.02194471689328261,0.03887423864708188,0.00317216433710482,0.12521595928547716,0.875
downstream_recovery,downstream,10,PSRC1,8,0.00028488415932239556,0.0005646610415423521,0.013012566382186641,0.0028893388475693953,0.022888224488703316,0.0007299674125811591,0.06789441183785745,0.5
downstream_recovery,downstream,10,SORT1,8,3.883762904753445e-05,0.0002013908107513771,0.0664028278801533,0.044763780794665135,0.08703283695468358,0.003903321878917596,0.27377376610307425,0.5
downstream_recovery,downstream,20,CELSR2,8,2.2197711471500913e-05,3.9605375259285476e-05,0.011653712428502178,0.01053498493841195,0.011279395995909132,0.0007409050293502577,0.03476856462731717,0.75
downstream_recovery,downstream,20,PSRC1,8,0.00011666143099830877,0.00020615117060040952,0.007933338638361211,0.007033239910845427,0.005408621627252587,0.0016219367544111738,0.017828874400615653,0.875
downstream_recovery,downstream,20,SORT1,8,6.159086136987672e-06,7.311414192798727e-05,0.03061078881131309,0.029356165502899097,0.023169401024285725,0.0003032455421917388,0.0634444906314029,0.5
downstream_recovery,downstream,40,CELSR2,8,1.2264802777448361e-05,4.359896063627384e-05,0.012091851856982654,0.0115853388152687,0.010369509379526864,0.000463727717245793,0.03329915071033409,0.625
downstream_recovery,downstream,40,PSRC1,8,9.510708503542454e-05,0.00020052499636316205,0.005956855595207135,0.003868483421829164,0.006895558049288807,4.625113050370421e-06,0.02021775556981924,0.75
downstream_recovery,downstream,40,SORT1,8,4.3105890742095414e-05,5.468977791819073e-05,0.02916991722640928,0.02540058388209995,0.023523872944407914,0.002159188376310725,0.07956626292842416,0.875
downstream_recovery,downstream,80,CELSR2,8,1.4496025622812592e-06,3.3296336056410795e-05,0.009785885921644692,0.010972666750045504,0.006144978217687616,0.0016166370078253656,0.01616413244910543,0.5
downstream_recovery,downstream,80,PSRC1,8,1.5010691001839278e-05,0.00011919446863135701,0.003885329180253257,0.003123285912582399,0.0028211808765076763,0.0007896078347166816,0.008307503175097358,0.625
downstream_recovery,downstream,80,SORT1,8,2.4704195156794763e-05,7.059988925281087e-05,0.03287721304796054,0.031707131432801405,0.021441172199516207,0.006490592100683274,0.06426986063519145,0.625
downstream_recovery,downstream,120,CELSR2,8,-2.5475059317627263e-06,4.51149765420113e-05,0.013414477534154218,0.013313867947295376,0.008062040785807316,0.0012293406770811988,0.02693569204421619,0.5
downstream_recovery,downstream,120,PSRC1,8,0.00011953489534986209,0.0002327888990333676,0.007346659860735474,0.0063625157150616,0.007824917898526674,9.512325551879855e-05,0.025814471460124635,0.625
downstream_recovery,downstream,120,SORT1,8,-4.180635850978016e-05,4.9285142996835015e-05,0.02887053938112537,0.02681913361390184,0.0191823896717166,0.004887659425612499,0.06130520510985624,0.125
downstream_recovery,downstream,160,CELSR2,8,-1.0825138300280196e-05,6.157883652331253e-05,0.01599643840946825,0.009926933243460438,0.01508992555088122,0.0005346237920252129,0.03613802160447429,0.625
downstream_recovery,downstream,160,PSRC1,8,0.00020762532751591057,0.0002497310178509469,0.009121062842051334,0.007290968013736122,0.009974466792340384,0.00023533687117201462,0.031340547253366,0.875
downstream_recovery,downstream,160,SORT1,8,2.9371097782603453e-05,0.00010249856368500309,0.04228790164237896,0.03826979286092819,0.03721040586984261,0.00514264339291678,0.12082574011063672,0.75
downstream_recovery,downstream,220,CELSR2,8,4.663083084580034e-06,5.517820417448475e-05,0.013017495767251183,0.005374236431257751,0.014595166644321067,0.0005212466254894545,0.04269910750601891,0.625
downstream_recovery,downstream,220,PSRC1,8,0.00025274077956084166,0.000162182688731242,0.010551567725076897,0.008363332151886392,0.006770896358538821,0.000159405165397326,0.021184979643904374,1.0
downstream_recovery,downstream,220,SORT1,8,2.8927715844853652e-05,0.00010649191524568369,0.046857041167991,0.044799796234962524,0.034048118896792476,0.010942612535962348,0.09846056392080155,0.5
downstream_recovery,downstream,300,CELSR2,8,-1.6894503218205974e-05,6.439330552182204e-05,0.01790006281130773,0.017175674865384905,0.015046953529782083,0.0007802789648937962,0.039478021743254196,0.375
downstream_recovery,downstream,300,PSRC1,8,0.00028879188779896026,0.00022497775328850328,0.012056650168834315,0.011595650670881481,0.009392500903827547,0.0008045487669454117,0.029210527462516542,1.0
downstream_recovery,downstream,300,SORT1,8,3.312035465845211e-05,8.65233746642685e-05,0.042661626383970315,0.04709937551223166,0.022964382219380967,0.005805950984288976,0.08156491273006491,0.75
downstream_recovery,downstream,400,CELSR2,8,-4.760773681023031e-06,6.630664514091264e-05,0.015457107372310586,0.006534589942935043,0.017688646066606667,0.0013718669629200736,0.04919069428036211,0.5
downstream_recovery,downstream,400,PSRC1,8,0.00028457177555716185,0.00018650688691765262,0.011880466490821869,0.009659442729160582,0.00778639700298595,0.00021912695955112572,0.025596680543320687,1.0
downstream_recovery,downstream,400,SORT1,8,-6.735103306799647e-06,8.054129460540919e-05,0.03359370346154599,0.023769431933008442,0.025708686918206686,0.007545957655183882,0.0750671994188676,0.375
downstream_recovery,downstream,600,CELSR2,8,2.0889261545752784e-05,6.027945191895914e-05,0.015361281877239702,0.011667164314097504,0.01666790330219362,0.0017481063582758204,0.05451661845842627,0.75
downstream_recovery,downstream,600,PSRC1,8,0.00037635698136137107,0.00021965123592471056,0.015712368160532814,0.013321440863198596,0.00917012638713691,0.008088681917936753,0.036751704424314316,1.0
downstream_recovery,downstream,600,SORT1,8,1.3800399362578174e-05,5.1943120926712126e-05,0.02438315082128313,0.024333070242642127,0.013797757134861633,0.006632360070071543,0.05150487139711926,0.5
downstream_recovery,downstream,800,CELSR2,8,-1.1280667672491527e-05,8.172839028916946e-05,0.022080519441101853,0.015429483177715893,0.018629363061074357,0.007172645212485548,0.06472503283392407,0.25
downstream_recovery,downstream,800,PSRC1,8,0.00038618454671241614,0.0001701618890196211,0.016122655022646447,0.013306187387164787,0.007104016610763562,0.011029121376361433,0.03176959073735601,1.0
