condition,arm,extent_bp,gene,n_seeds,mean_delta_liver,sd_delta_liver,mean_retention,median_retention,sd_retention,min_retention,max_retention,positive_delta_fraction
both_nonmotif_arms,control,,CELSR2,8,-2.538215971095736e-05,3.5777976325836366e-05,0.01341613713385878,0.013435666483697881,0.007838662708588138,0.00447246098812775,0.027170139633160378,0.25
both_nonmotif_arms,control,,PSRC1,8,2.0607957037195763e-05,6.483753962119976e-05,0.002184720696484443,0.002304886946740624,0.0016487148696750795,0.00018580088988415054,0.004875000718306226,0.625
both_nonmotif_arms,control,,SORT1,8,2.1544093872734316e-05,8.216985998571322e-05,0.03283221696317605,0.020184773900919932,0.03066890576559408,0.006452179021406209,0.08871997416787063,0.625
downstream_only,downstream,135.0,CELSR2,8,0.0015063075469373727,0.0002868556758566324,0.5482875209032693,0.5243869238018612,0.10441386136067994,0.4478652682602051,0.7738804210182771,1.0
downstream_only,downstream,135.0,PSRC1,8,0.012474474861207206,0.0034828687474598883,0.5207915658150102,0.45960901762004647,0.1454048117214503,0.419872508880034,0.8561481372506543,1.0
downstream_only,downstream,135.0,SORT1,8,0.00107414828521688,0.00031542234573736706,0.5866939475155232,0.5074485916243925,0.17228196860910827,0.47260074892363413,0.9713057157918059,1.0
full_315,control,,CELSR2,8,-4.966650899674565e-06,4.1114639950519754e-05,0.010325768045581909,0.006007531558940982,0.01028825482371823,0.001631097681775549,0.026261659662565145,0.25
full_315,control,,PSRC1,8,-1.451189413429789e-05,5.854061293844868e-05,0.0020474113813307515,0.0018477767169256846,0.001265634309165866,0.00041323552588244823,0.004488770773626385,0.375
full_315,control,,SORT1,8,3.749867577652888e-06,6.117178304738128e-05,0.026508570787361165,0.025028129946125775,0.017833814252450356,0.002423824943383423,0.061855243813476714,0.5
motif_only,control,,CELSR2,8,0.00027605564879946347,0.0003761014406081094,0.10779483949731503,0.04245794911418799,0.13038700261812594,0.004619526543382342,0.37062438738855413,0.75
motif_only,control,,PSRC1,8,0.0014724612390118325,0.0021531579078302625,0.06598690192425839,0.02836254021927862,0.08615643404009866,0.0012449862828797745,0.2471394252410183,0.5
motif_only,control,,SORT1,8,0.00017724552351708594,0.00025363745387882984,0.10302554953408892,0.04902825903395613,0.13331409114982426,0.00675310859874454,0.3937375057217783,0.75
native,none,,CELSR2,8,0.002747294967530586,0.0,1.0,1.0,0.0,1.0,1.0,1.0
native,none,,PSRC1,8,0.023952912604652758,0.0,1.0,1.0,0.0,1.0,1.0,1.0
native,none,,SORT1,8,0.0018308494399261882,0.0,1.0,1.0,0.0,1.0,1.0,1.0
upstream_only,upstream,179.0,CELSR2,8,-1.2678729687123132e-05,3.5251115154811805e-05,0.010471716132771971,0.010623156759895225,0.007978627949747519,0.001494678328467699,0.02238787144589914,0.375
upstream_only,upstream,179.0,PSRC1,8,0.0004280959955707351,0.00023441765341202084,0.017872398344056878,0.017498531411769824,0.009786603294602517,0.003139444308546182,0.029519414840420977,1.0
upstream_only,upstream,179.0,SORT1,8,-2.3272323872082328e-05,6.490821137202609e-05,0.02930461804480555,0.02533160321977542,0.021449872689054624,0.006084823462872647,0.06433842865503028,0.375
