condition,arm,extent_bp,gene,n_seeds,mean_delta_liver,sd_delta_liver,mean_retention,median_retention,sd_retention,min_retention,max_retention,positive_delta_fraction
both_nonmotif_arms,control,,CELSR2,8,-5.6873956661214475e-05,0.00014278934504539684,0.029815209779760675,0.02395020177579004,0.024626994799913152,0.003235614503584455,0.08199620476505057,0.375
both_nonmotif_arms,control,,PSRC1,8,0.00016919358116005388,0.0003347560130748908,0.012929372581237716,0.010373580306290982,0.007363518978656827,0.006076297865212694,0.026693344125066583,0.75
both_nonmotif_arms,control,,SORT1,8,-6.052777115269541e-05,5.595629752081736e-05,0.11893497719594166,0.07892363946109582,0.1099521895960541,0.020767090084687044,0.31850023307926884,0.0
downstream_only,downstream,135.0,CELSR2,8,0.0017815879633861075,0.0005508624788467515,0.4623936106434614,0.4334278430537063,0.14297093143683004,0.24238774880001668,0.7241025256828095,1.0
downstream_only,downstream,135.0,PSRC1,8,0.012122687719384309,0.0029647529808415705,0.49896685068499125,0.48983232622807343,0.12202850491182911,0.3368137666803728,0.7162619749656012,1.0
downstream_only,downstream,135.0,SORT1,8,0.00025991105074861347,0.00010472817872834318,0.5107162267015508,0.4367794325666454,0.2057872495817702,0.2639109166401214,0.8498095824723769,1.0
full_315,control,,CELSR2,8,-3.59521741156903e-05,0.0001454238172673531,0.029060995212113094,0.022457198989451074,0.023640525333809174,0.0043193381729262,0.0648095528053018,0.375
full_315,control,,PSRC1,8,6.967677295550718e-05,0.0002060617859471071,0.007266663929997933,0.007189257941156664,0.004581139206940415,0.001899807465110452,0.016122920867038214,0.625
full_315,control,,SORT1,8,-1.0796049570212934e-06,5.331736061038243e-05,0.08407994945211636,0.0893166751591646,0.05386893016456461,0.006868301592928607,0.16553510816867217,0.5
motif_only,control,,CELSR2,8,0.00022596350794909926,0.0002656754629708112,0.06001685416573865,0.040613183075168355,0.06759253776023319,0.0054810039535584274,0.20624853528319514,0.875
motif_only,control,,PSRC1,8,0.0011654134825806826,0.0024919673161578723,0.07707516948565935,0.04679125197441497,0.0797543891950325,0.00145653748453263,0.22353084154993422,0.5
motif_only,control,,SORT1,8,3.103083518669631e-05,7.876767184377536e-05,0.13186988535090324,0.12552132797221652,0.09127238187315213,0.012327252703351919,0.2795024550760657,0.625
native,none,,CELSR2,8,0.0038529683853262397,0.0,1.0,1.0,0.0,1.0,1.0,1.0
native,none,,PSRC1,8,0.024295577356976822,0.0,1.0,1.0,0.0,1.0,1.0,1.0
native,none,,SORT1,8,0.0005089148085762676,0.0,1.0,1.0,0.0,1.0,1.0,1.0
upstream_only,upstream,179.0,CELSR2,8,9.636076321321179e-05,8.453204330918572e-05,0.025009487121720235,0.025101151212086392,0.021939459361026703,0.0019357172185808936,0.04963309619328825,1.0
upstream_only,upstream,179.0,PSRC1,8,0.00011756008593805534,0.0002477547891787575,0.008021578959205654,0.005191796495799105,0.007563715420021762,0.0008408106690221587,0.023678648179789,0.5
upstream_only,upstream,179.0,SORT1,8,-7.578239363488504e-05,9.285880485708256e-05,0.17554684349967925,0.12191104770096353,0.1530229123385732,0.0006966324987336762,0.39204940828123874,0.125
