gene_symbol,gene_id_base,cohort,hpa_liver_ntpm,rna_liver_primary,hpa_log10,ag_log10
TSPAN6,ENSG00000000003,,65.6,0.2037721332148652,1.8175653695597809,-0.6906421328196919
TNMD,ENSG00000000005,,0.0,0.0003521616196198,-1.0,-3.344706304208123
DPM1,ENSG00000000419,,58.2,0.1451111434623915,1.765668554759014,-0.8380000547204393
SCYL3,ENSG00000000457,,10.6,0.0362107608255362,1.0293837776852095,-1.4399646511457598
FIRRM,ENSG00000000460,,2.5,0.0712678830201334,0.414973347970818,-1.14649718549486
FGR,ENSG00000000938,,10.2,0.0638204324466928,1.0128372247051722,-1.1943602955123207
CFH,ENSG00000000971,top500,1585.8,0.4510228514562523,3.200275799111851,-0.3457051733234938
FUCA2,ENSG00000001036,,48.9,0.5649470232590371,1.6901960800285136,-0.2479154086546508
GCLC,ENSG00000001084,,142.2,0.1812145550092299,2.153204900084284,-0.7415673315555089
NFYA,ENSG00000001167,,12.2,0.0682464819952397,1.0899051114393978,-1.1652838350007035
STPG1,ENSG00000001460,,1.6,0.0113710247754236,0.2304489213782739,-1.9403977822354903
NIPAL3,ENSG00000001461,,3.2,0.0282745827717214,0.5185139398778875,-1.5470705157467075
LAS1L,ENSG00000001497,,11.5,0.1111186166649052,1.0644579892269184,-0.95382251097225
ENPP4,ENSG00000001561,,7.6,0.0149797779326139,0.8864907251724818,-1.821605053913891
SEMA3F,ENSG00000001617,,4.6,0.0205691378334904,0.6720978579357174,-1.6846776386105846
CFTR,ENSG00000001626,,1.6,0.010993554116805,0.2304489213782739,-1.9549292937035043
ANKIB1,ENSG00000001629,,9.9,0.0550248795349188,1.0,-1.258652346592172
CYP51A1,ENSG00000001630,,188.9,0.2008543132911332,2.2764618041732443,-0.6969026676583897
KRIT1,ENSG00000001631,,7.8,0.0891945841385155,0.8976270912904414,-1.049174880978024
RAD52,ENSG00000002016,,6.1,0.0239852352022359,0.7923916894982538,-1.6182491082644557
BAD,ENSG00000002330,,95.2,0.4468889046557533,1.9790929006383264,-0.3497032569722825
LAP3,ENSG00000002549,,178.0,0.6517254537734788,2.2506639194632436,-0.1858686843472095
CD99,ENSG00000002586,,235.2,0.1668883625194176,2.371621927176021,-0.7773137939404822
HS3ST1,ENSG00000002587,,0.3,0.0041238892248354,-0.3979400086720376,-2.374287480074993
AOC1,ENSG00000002726,middle500,5.4,0.0006122448001564,0.7403626894942439,-3.1473707127050186
WNT16,ENSG00000002745,,0.2,0.0002112049883473,-0.5228787452803375,-3.506953450260937
HECW1,ENSG00000002746,,0.1,0.0005894323430662,-0.6989700043360187,-3.1615083465652973
MAD1L1,ENSG00000002822,,6.2,0.15655611798454,0.7993405494535817,-0.8050526396903988
LASP1,ENSG00000002834,,74.0,0.174563053775944,1.869818207979328,-0.7577989509882205
SNX11,ENSG00000002919,,12.9,0.0325855782933208,1.1139433523068367,-1.4856438268254493
TMEM176A,ENSG00000002933,top500,1277.5,2.4459760863413704,3.1063949031304263,0.3884699618434709
M6PR,ENSG00000003056,,73.8,0.8996701325156993,1.8686444383948255,-0.0458684271505651
KLHL13,ENSG00000003096,,4.4,0.0175709247113945,0.6532125137753437,-1.7527407234673102
CYP26B1,ENSG00000003137,,0.9,0.0025046621313119,0.0,-2.5842486040433092
