cohort,gene_symbol,gene_id,native,log2_T_over_G
bottom500,A3GALT2,ENSG00000184389.9,0.0034449528944668,0.9439020939109904
bottom500,AADACL2,ENSG00000197953.6,0.0001538696884791,4.9100205698519614
bottom500,AADACL3,ENSG00000188984.12,3.02097908033236e-05,5.5402733688384584
bottom500,AADACL4,ENSG00000204518.3,2.5253740043015387e-05,6.4272792545412605
bottom500,AANAT,ENSG00000129673.10,0.0020044975470474,1.5329991133017737
bottom500,AARD,ENSG00000205002.4,0.0007314258454084,4.064696392604691
bottom500,ABCA12,ENSG00000144452.15,0.0001623868826805,3.649459465234895
bottom500,ABCB5,ENSG00000004846.17,1.0264010308973791e-05,4.794327951327007
bottom500,ABCC12,ENSG00000140798.17,1.881707152894097e-05,4.116858923178893
bottom500,ABCC8,ENSG00000006071.16,0.0006321522673447,3.744542699416808
bottom500,ABHD12B,ENSG00000131969.15,0.0008016090914898,3.2146056792319007
bottom500,ABRA,ENSG00000174429.4,0.0002135673287348,5.206142393878048
bottom500,ACAN,ENSG00000157766.19,0.0004132962819025,4.718272993882195
bottom500,ACCSL,ENSG00000205126.2,0.0002564602672184,4.865351755559144
bottom500,ACOD1,ENSG00000102794.11,4.040985688496787e-05,8.330080803845748
bottom500,ACP4,ENSG00000142513.6,0.0004031473345074,7.555181585811294
bottom500,ACP7,ENSG00000183760.11,3.648632666369055e-05,5.465633635111056
bottom500,ACRV1,ENSG00000134940.14,0.0003654806005908,1.371537889197813
bottom500,ACSBG2,ENSG00000130377.14,7.209388029733758e-05,3.4582226253659596
bottom500,ACSM4,ENSG00000215009.6,0.0001451702495023,3.7050261571579726
bottom500,ACSM6,ENSG00000173124.15,0.0011983571658976,3.913261896121494
bottom500,ACTBL2,ENSG00000169067.4,0.0001303717020862,4.368192759381865
bottom500,ACTL6B,ENSG00000077080.10,0.000469110637494,4.094956493158447
bottom500,ACTL7A,ENSG00000187003.7,0.0001254521939125,4.767211202587893
bottom500,ACTL7B,ENSG00000148156.8,6.24987021239941e-05,4.589157123102205
bottom500,ACTL8,ENSG00000117148.8,3.2423443231093234e-06,3.3916819677851504
bottom500,ACTL9,ENSG00000181786.6,1.5399671290580367e-05,4.422925149361392
bottom500,ACTN3,ENSG00000248746.6,0.0146174748345686,2.436395754384936
bottom500,ACTRT1,ENSG00000123165.9,2.7201805252274267e-05,2.49648736302209
bottom500,ACTRT2,ENSG00000169717.7,1.1909845882799688e-05,10.512281208019537
bottom500,ADAD1,ENSG00000164113.11,2.227445518275867e-05,3.7395929313152623
bottom500,ADAD2,ENSG00000140955.11,0.0001867638819716,4.728188292760045
bottom500,ADAM18,ENSG00000168619.16,4.046381962745774e-05,5.411915321324423
bottom500,ADAM2,ENSG00000104755.16,2.1734681111727615e-05,3.4420627555322145
bottom500,ADAM21,ENSG00000139985.8,0.034149899670025,0.8871567566534811
bottom500,ADAM29,ENSG00000168594.15,2.5877274531260595e-05,1.3676089194641508
