gene_symbol,gene_id,chrom,upstream_distance_bp,upstream_distance_label,rs127_major,rs127_minor,scrambled_control,T_minus_G,T_minus_native
A3GALT2,ENSG00000184389.9,chr1,0.0,0,0.004097615878979,0.0075766329744264,0.0029795331318537,0.0034790170954474,
A3GALT2,ENSG00000184389.9,chr1,20.0,20,0.0041745962981809,0.0075123408809459,0.0032038191681175,0.0033377445827649996,
A3GALT2,ENSG00000184389.9,chr1,30.0,30,0.0044902797382116,0.0086380604911841,0.003156900823012,0.0041477807529725,
A3GALT2,ENSG00000184389.9,chr1,100.0,100,0.0053524617045201,0.0096089748365724,0.0030341594505039,0.0042565131320523,
A3GALT2,ENSG00000184389.9,chr1,1000.0,1k,0.0035160660276927,0.0047128625405904,0.0025633754982885,0.0011967965128976995,
A3GALT2,ENSG00000184389.9,chr1,10000.0,10k,0.0038653781073774,0.0048544604927462,0.0036350030318246,0.0009890823853688003,
A3GALT2,ENSG00000184389.9,chr1,100000.0,100k,0.0035249631742353,0.0038720114791451,0.0034609421743786,0.0003470483049098001,
A3GALT2,ENSG00000184389.9,chr1,500000.0,500k,0.0034556289935999,0.0034502427160645,0.0034508696002065,-5.386277535400063e-06,
AADACL2,ENSG00000197953.6,chr3,0.0,0,0.0061998939757966,0.1494243310885433,5.988137083711779e-05,0.1432244371127467,
AADACL2,ENSG00000197953.6,chr3,20.0,20,0.0069650000982627,0.1469836813012414,6.483834440850019e-05,0.1400186812029787,
AADACL2,ENSG00000197953.6,chr3,30.0,30,0.0047583467315208,0.1430604398250771,6.431284341196863e-05,0.1383020930935563,
AADACL2,ENSG00000197953.6,chr3,100.0,100,0.0218871001713884,0.1551260750266859,9.328803133234588e-05,0.1332389748552975,
AADACL2,ENSG00000197953.6,chr3,1000.0,1k,0.0007410268646599,0.006473245002511,0.0001618743469878,0.0057322181378511,
AADACL2,ENSG00000197953.6,chr3,10000.0,10k,0.0001739972138793,0.0003658658891833,0.0001547636315587,0.00019186867530400002,
AADACL2,ENSG00000197953.6,chr3,100000.0,100k,0.0001642093876233,0.0002069178564994,0.0001541664538224,4.27084688761e-05,
AADACL2,ENSG00000197953.6,chr3,500000.0,500k,0.0001525228542899,0.0001538262463832,0.0001533770026166,1.3033920932999912e-06,
AADACL3,ENSG00000188984.12,chr1,0.0,0,0.000813003734453,0.0237821672768808,4.234031960298566e-05,0.022969163542427798,
AADACL3,ENSG00000188984.12,chr1,20.0,20,0.0009188552810709,0.0256562000887844,6.0761583649519234e-05,0.0247373448077135,
AADACL3,ENSG00000188984.12,chr1,30.0,30,0.0005118054736255,0.0238173475704354,4.224393928694044e-05,0.0233055420968099,
AADACL3,ENSG00000188984.12,chr1,100.0,100,0.0019315321911121,0.0420105441493287,5.866618934851143e-05,0.0400790119582166,
AADACL3,ENSG00000188984.12,chr1,1000.0,1k,6.562533556442233e-05,0.0011176039667681,8.682315459857181e-06,0.0010519786312036777,
AADACL3,ENSG00000188984.12,chr1,10000.0,10k,4.094305575096279e-05,0.0001227027359146,2.9122272894935897e-05,8.17596801636372e-05,
AADACL3,ENSG00000188984.12,chr1,100000.0,100k,3.1341941860429726e-05,3.134694469140789e-05,3.151457715466086e-05,5.002830978165771e-09,
AADACL3,ENSG00000188984.12,chr1,500000.0,500k,3.016797129796595e-05,3.0185268018649205e-05,3.016968551612581e-05,1.729672068325467e-08,
AADACL4,ENSG00000204518.3,chr1,0.0,0,8.335252038189136e-05,0.0076575302913453,1.6801055473209767e-05,0.007574177770963409,
AADACL4,ENSG00000204518.3,chr1,20.0,20,6.812747863047543e-05,0.0091810703223584,1.747170746022911e-05,0.009112942843727925,
AADACL4,ENSG00000204518.3,chr1,30.0,30,9.242059119181676e-05,0.0079537619435716,1.791403297960912e-05,0.007861341352379782,
AADACL4,ENSG00000204518.3,chr1,100.0,100,0.000355866851955,0.0143504032563648,1.918382823846208e-05,0.013994536404409801,
AADACL4,ENSG00000204518.3,chr1,1000.0,1k,9.898241844590304e-05,0.0011759959366121,2.5096714114400187e-05,0.001077013518166197,
AADACL4,ENSG00000204518.3,chr1,10000.0,10k,3.760919491398472e-05,0.0001089930947766,2.7281284086467683e-05,7.138389986261528e-05,
AADACL4,ENSG00000204518.3,chr1,100000.0,100k,2.551649086950774e-05,2.6151012198020793e-05,2.532093308907613e-05,6.345213285130511e-07,
AADACL4,ENSG00000204518.3,chr1,500000.0,500k,2.5215613564421592e-05,2.5167705114559363e-05,2.5160769290839103e-05,-4.790844986222919e-08,
AANAT,ENSG00000129673.10,chr17,0.0,0,0.0076920349373736,0.022557060628022,0.0053159689395256,0.0148650256906484,
AANAT,ENSG00000129673.10,chr17,20.0,20,0.0107228232276538,0.0281900918493107,0.0053713505122896,0.0174672686216569,
AANAT,ENSG00000129673.10,chr17,30.0,30,0.0088564912206406,0.025629516474879,0.0048076845522394,0.016773025254238398,
AANAT,ENSG00000129673.10,chr17,100.0,100,0.0026462959048202,0.0090154281222332,0.0027541531798292,0.006369132217413,
AANAT,ENSG00000129673.10,chr17,1000.0,1k,0.0031376545924463,0.0063447940364972,0.0022144328357375,0.0032071394440509,
AANAT,ENSG00000129673.10,chr17,10000.0,10k,0.0022801475298433,0.0037704674317709,0.001891201608287,0.0014903199019275998,
AANAT,ENSG00000129673.10,chr17,100000.0,100k,0.0019977078303268,0.0020012687216875,0.0020063134407422,3.5608913607002024e-06,
AANAT,ENSG00000129673.10,chr17,500000.0,500k,0.0020006956759511,0.0019996567369115,0.0020084224152035,-1.0389390396000654e-06,
AARD,ENSG00000205002.4,chr8,0.0,0,0.0037387697624979,0.0389441087585006,0.0004111651579787,0.0352053389960027,
AARD,ENSG00000205002.4,chr8,20.0,20,0.0027172160746504,0.0270348692957305,0.000378998145579,0.0243176532210801,
AARD,ENSG00000205002.4,chr8,30.0,30,0.001968710878427,0.0329440871765243,0.0002695597254474,0.0309753762980973,
AARD,ENSG00000205002.4,chr8,100.0,100,0.0007025990214614,0.0156726873656923,0.0003611004819728,0.0149700883442309,
AARD,ENSG00000205002.4,chr8,1000.0,1k,0.0014874071123639,0.0120021384288537,0.0006504587014099,0.010514731316489799,
AARD,ENSG00000205002.4,chr8,10000.0,10k,0.0013162109066344,0.0041511550323472,0.0006563719881878,0.0028349441257127994,
AARD,ENSG00000205002.4,chr8,100000.0,100k,0.0007298887204271,0.0007502571068624,0.0007352702003672,2.0368386435299984e-05,
AARD,ENSG00000205002.4,chr8,500000.0,500k,0.0007331765195602,0.0007307615115931,0.0007337884491586,-2.4150079670999308e-06,
ABCA12,ENSG00000144452.15,chr2,0.0,0,0.0002619550216331,0.0006574806926807,0.0002024456338621,0.0003955256710476,
ABCA12,ENSG00000144452.15,chr2,20.0,20,0.0002537126869607,0.0006412822114773,0.0002053545861331,0.00038756952451660006,
ABCA12,ENSG00000144452.15,chr2,30.0,30,0.0002920431344316,0.0008458675273364,0.0002055107046759,0.0005538243929047999,
ABCA12,ENSG00000144452.15,chr2,100.0,100,0.0002432553961036,0.0005439095735105,0.0002017298141171,0.0003006541774069,
ABCA12,ENSG00000144452.15,chr2,1000.0,1k,0.0002825248772021,0.0005328316062423,0.0002065549869101,0.00025030672904019995,
ABCA12,ENSG00000144452.15,chr2,10000.0,10k,0.0002518037525268,0.0003980553004368,0.0001977600614581,0.00014625154791,
ABCA12,ENSG00000144452.15,chr2,100000.0,100k,0.000419419714291,0.001201141807826,0.0002017849587642,0.000781722093535,
ABCA12,ENSG00000144452.15,chr2,500000.0,500k,0.000200808592703,0.0002021170909111,0.0002014892161672,1.3084982080999868e-06,
ABCB5,ENSG00000004846.17,chr7,0.0,0,0.0013044884189867,0.0166317102144948,0.0005145995972887,0.0153272217955081,
ABCB5,ENSG00000004846.17,chr7,20.0,20,0.001253394943063,0.0196423454403052,0.0005166385626034,0.0183889504972422,
ABCB5,ENSG00000004846.17,chr7,30.0,30,0.0011168973555934,0.0159560221389443,0.0005102499492052,0.0148391247833509,
ABCB5,ENSG00000004846.17,chr7,100.0,100,0.0008411197739621,0.014998144858342,0.0004517117017538,0.014157025084379899,
ABCB5,ENSG00000004846.17,chr7,1000.0,1k,0.0003166581762191,0.0017460945208132,0.0003610217387771,0.0014294363445940999,
ABCB5,ENSG00000004846.17,chr7,10000.0,10k,0.0008074166868504,0.0073879143699729,0.0003585324447413,0.0065804976831225,
