source	ontology_curie	biosample_name	n_tracks	gene	strand	gene_start_hg38	gene_end_hg38	tss_hg38	tss_bin	tss_bin_start_0based	tss_bin_end_0based	variant_to_tss_bp	separation_bins	log_observed_expected_pm1bin	implied_observed_expected	same_distance_null_n	same_distance_null_mean	same_distance_null_sd	same_distance_z	same_distance_percentile	same_distance_high_empirical_p
skin fibroblast mean	CL:0002620	skin fibroblast	1	CELSR2	+	109249538	109275751	109249538	243	109248344	109250392	-25430	-12	-3.3645833333333335	0.034576419958645	499	-3.7903724114896464	0.2346787024364133	1.814349038646493	96.49298597194388	0.038
skin fibroblast mean	CL:0002620	skin fibroblast	1	PSRC1	-	109279555	109283186	109283186	260	109283160	109285208	8218	5	-5.125	0.005946217356472	506	-5.280055994729908	0.1684742071194938	0.9203545004365652	79.44664031620553	0.2149901380670611
skin fibroblast mean	CL:0002620	skin fibroblast	1	SORT1	-	109309567	109397918	109397918	316	109397848	109399896	122950	61	0.3463541666666667	1.4139032845656363	450	-0.3658524838200321	0.2041869127667145	3.4880132170880205	99.44444444444444	0.0088691796008869
HepG2 mean	EFO:0001187	HepG2	1	CELSR2	+	109249538	109275751	109249538	243	109248344	109250392	-25430	-12	0.33203125	1.3937964039695832	499	0.0812609181375446	0.2267733502906787	1.1058192311443	91.18236472945893	0.09
HepG2 mean	EFO:0001187	HepG2	1	PSRC1	-	109279555	109283186	109283186	260	109283160	109285208	8218	5	-0.0188802083333333	0.9812969063941724	506	0.0544285617169969	0.1709179771034679	-0.4289119921303049	27.56916996047431	0.7258382642998028
HepG2 mean	EFO:0001187	HepG2	1	SORT1	-	109309567	109397918	109397918	316	109397848	109399896	122950	61	1.8515625	6.369764508102507	450	0.0587374397560402	0.4116927092746769	4.354765143649426	99.88888888888889	0.0044345898004434
IMR-90 mean	EFO:0001196	IMR-90	1	CELSR2	+	109249538	109275751	109249538	243	109248344	109250392	-25430	-12	0.3138020833333333	1.36861883726231	499	0.1801132209793121	0.2449711631107716	0.5457330595828923	63.326653306613224	0.368
IMR-90 mean	EFO:0001196	IMR-90	1	PSRC1	-	109279555	109283186	109283186	260	109283160	109285208	8218	5	0.0113118489583333	1.011376069845649	506	0.1624967150380331	0.1641827454838891	-0.92083285386731	17.09486166007905	0.8303747534516766
IMR-90 mean	EFO:0001196	IMR-90	1	SORT1	-	109309567	109397918	109397918	316	109397848	109399896	122950	61	1.8932291666666667	6.640778274711317	450	0.1270372150562427	0.4458099679647346	3.961759670098127	99.44444444444444	0.0088691796008869
GM12878 mean	EFO:0002784	GM12878	1	CELSR2	+	109249538	109275751	109249538	243	109248344	109250392	-25430	-12	0.0818684895833333	1.085313070469787	499	0.0439217818444302	0.1523793233627548	0.2490279317527024	51.30260521042084	0.488
GM12878 mean	EFO:0002784	GM12878	1	PSRC1	-	109279555	109283186	109283186	260	109283160	109285208	8218	5	-0.13525390625	0.8734940979184753	506	0.0024502726568691	0.1021721020615719	-1.3477669160989232	12.15415019762846	0.8796844181459567
GM12878 mean	EFO:0002784	GM12878	1	SORT1	-	109309567	109397918	109397918	316	109397848	109399896	122950	61	1.3854166666666667	3.9964907624315567	450	0.1064335279111509	0.3003188047283548	4.258751428877006	99.88888888888889	0.0044345898004434
HeLa-S3 mean	EFO:0002791	HeLa-S3	1	CELSR2	+	109249538	109275751	109249538	243	109248344	109250392	-25430	-12	0.1341145833333333	1.1435238409115145	499	-0.0490942058677902	0.2581519667522172	0.7096935634698204	70.14028056112224	0.3
HeLa-S3 mean	EFO:0002791	HeLa-S3	1	PSRC1	-	109279555	109283186	109283186	260	109283160	109285208	8218	5	-0.17724609375	0.8375736375209312	506	-0.0117625122170831	0.1864177139308216	-0.8877030945370712	17.292490118577074	0.8284023668639053
HeLa-S3 mean	EFO:0002791	HeLa-S3	1	SORT1	-	109309567	109397918	109397918	316	109397848	109399896	122950	61	1.6666666666666667	5.29449005047003	450	-0.1198663075764974	0.4442440997558732	4.021511991323965	99.88888888888889	0.0044345898004434
HCT116 mean	EFO:0002824	HCT116	2	CELSR2	+	109249538	109275751	109249538	243	109248344	109250392	-25430	-12	0.1571451822916666	1.1701654888765003	499	-0.0396278055811533	0.1230137662524574	1.5996013606232395	96.8937875751503	0.034
HCT116 mean	EFO:0002824	HCT116	2	PSRC1	-	109279555	109283186	109283186	260	109283160	109285208	8218	5	-0.0189208984375	0.9812569781331808	506	-0.0327289425700471	0.1032848945180828	0.1336889019151743	54.051383399209485	0.4615384615384615
HCT116 mean	EFO:0002824	HCT116	2	SORT1	-	109309567	109397918	109397918	316	109397848	109399896	122950	61	0.5575358072916666	1.7463638167797253	450	-0.1087098031573825	0.1769224406431979	3.7657496020681545	99.88888888888889	0.0044345898004434
H1-hESC mean	EFO:0003042	H1-hESC	6	CELSR2	+	109249538	109275751	109249538	243	109248344	109250392	-25430	-12	0.1093478732638889	1.1155503529919883	499	-0.0434519156425414	0.2254254242032663	0.6778285521541291	68.13627254509018	0.32
