promoter_id	gene_id	gene_name	strand	tss0	native_rna	primary_input_qc_pass	primary_distance_range	primary_analysis_eligible	high_delta_T_minus_G_rna	primary_mean_low_delta_T_minus_G_rna	primary_interaction_rna	high_delta_T_minus_G_atac_slot_mean	primary_mean_low_delta_T_minus_G_atac_slot_mean	primary_interaction_atac_slot_mean	high_delta_T_minus_G_atac_local_pm1kb_mean	primary_mean_low_delta_T_minus_G_atac_local_pm1kb_mean	primary_interaction_atac_local_pm1kb_mean	high_delta_T_minus_G_h3k27ac_slot_mean	primary_mean_low_delta_T_minus_G_h3k27ac_slot_mean	primary_interaction_h3k27ac_slot_mean	high_delta_T_minus_G_h3k27ac_local_pm1kb_mean	primary_mean_low_delta_T_minus_G_h3k27ac_local_pm1kb_mean	primary_interaction_h3k27ac_local_pm1kb_mean	gene_id_base	gene_type	tss1	high_target_bin_start0	high_target_center0	high_signed_distance_bp	high_contact_oe	high_contact_oe_smooth3	high_selection_peak_center0	high_selection_peak_oe_mean3	high_selection_peak_percentile	high_native_replacement_gc	high_local_flank_gc	high_local_flank_cpg_density	model_interval_start0	model_interval_end0	model_input_ambiguous_fraction	model_min_required_edge_margin_bp	passes_primary_ambiguous_fraction	primary_distance_range_50_500kb	tss_bin_start0	contact_edge_cluster	n_low_controls	low1_target_bin_start0	low1_target_center0	low1_signed_distance_bp	low1_contact_oe	low1_contact_oe_smooth3	low1_native_replacement_gc	low1_local_flank_gc	low1_local_flank_cpg_density	low1_absolute_distance_mismatch_bp	low1_absolute_flank_gc_mismatch	low1_absolute_flank_cpg_mismatch	low2_target_bin_start0	low2_target_center0	low2_signed_distance_bp	low2_contact_oe	low2_contact_oe_smooth3	low2_native_replacement_gc	low2_local_flank_gc	low2_local_flank_cpg_density	low2_absolute_distance_mismatch_bp	low2_absolute_flank_gc_mismatch	low2_absolute_flank_cpg_mismatch	primary_mean_low_contact_oe	primary_mean_low_contact_oe_smooth3	primary_contact_oe_difference	primary_contact_oe_smooth3_difference
ENSG00000188976__NOC2L__tss959309	ENSG00000188976.11	NOC2L	-	959308	0.1311970320103874	True	False	False	0.0003278440190863	0.0002460243611954	8.181965789091916e-05	0.6332617841224881	0.8495394915689729	-0.2162777074464847	0.1791067529608483	0.2984504523714877	-0.1193436994106393	585.3333333333335	832.6666666666666	-247.33333333333312	980.1764705882354	1293.1764705882351	-312.9999999999998	ENSG00000188976	protein_coding	959309	1865000	1867500	908192	1.5908788442611694	1.2522416512171426	1872500	1.2557922999064126	0.9523809523809524	0.2952380952380952	0.4516542155816435	0.0187873612297181	895695	1944271	0.0	61613	True	False	955000	955000__1865000	2	1880000	1882500	923192	0.0	0.7593528827031453	0.3841269841269841	0.4864461045891142	0.0198548249359521	15000	0.0347918890074706	0.0010674637062339	1805000	1807500	848192	0.0	0.0	0.4412698412698412	0.4697972251867662	0.0209222886421861	60000	0.0181430096051227	0.0021349274124679	0.0	0.3796764413515726	1.5908788442611694	0.87611585855484
ENSG00000187961__KLHL17__tss960584	ENSG00000187961.15	KLHL17	+	960583	0.1476085005149755	True	False	False	0.0003770686016275	0.00053391846023	-0.0001568498586025	0.6285886989559033	0.7266898791642031	-0.0981011802082998	0.2254126049813923	0.2535371825678909	-0.0281245775864986	601.3333333333333	751.0	-149.66666666666674	985.529411764706	1174.5	-188.97058823529403	ENSG00000187961	protein_coding	960584	1935000	1937500	976917	3.993816614151001	1.3312722047170005	1942500	1.6638318300247192	1.0	0.5301587301587302	0.5413020277481323	0.0303159692570452	931332	1979908	0.0	27250	True	False	960000	960000__1935000	2	1950000	1952500	991917	0.0	0.9632043441136676	0.2984126984126984	0.4712913553895411	0.0185738684884713	15000	0.0700106723585912	0.0117421007685738	1880000	1882500	921917	0.0	0.4023546377817789	0.3841269841269841	0.4864461045891142	0.0198548249359521	55000	0.0548559231590181	0.010461144321093	0.0	0.6827794909477234	3.993816614151001	0.9810523390769958
ENSG00000187583__PLEKHN1__tss966482	ENSG00000187583.11	PLEKHN1	+	966481	0.111915228900031	False	True	False	0.0007135791090004	0.0002985032801229	0.0004150758288775	0.0698132737432409	0.0925423428856851	-0.0227290691424442	0.016557043861651	0.0185385122762996	-0.0019814684146485	247.5	172.79166666666669	74.70833333333331	259.18382352941177	256.88292738970586	2.3008961397059124	ENSG00000187583	protein_coding	966482	710000	712500	-253981	3.575878381729126	1.1919594605763753	707500	1.1919594605763753	0.9047619047619048	0.4158730158730159	0.3312700106723586	0.0074722459436379	288624	1337200	0.095367431640625	368718	False	True	965000	965000__710000	2	655000	657500	-308981	0.0	0.0	0.4285714285714285	0.3257203842049093	0.0064047822374039	55000	0.0055496264674493	0.0010674637062339	695000	697500	-268981	0.0	0.0	0.3492063492063492	0.3856990394877267	0.0055508112724167	15000	0.0544290288153681	0.0019214346712211	0.0	0.0	3.575878381729126	1.1919594605763753
ENSG00000188290__HES4__tss1000172	ENSG00000188290.11	HES4	-	1000171	0.1494720952864201	False	True	False	0.0008810935274299	0.0015516478568625	-0.0006705543294326	0.0726137170558984	0.0755123893998574	-0.0028986723439589	0.0128901037587248	0.0170104162321683	-0.0041203124734435	91.65625	219.625	-127.96875	68.78308823529412	249.97242647058823	-181.18933823529412	ENSG00000188290	protein_coding	1000172	660000	662500	-337671	14.23087215423584	4.743624051411946	657500	4.743624051411946	1.0	0.219047619047619	0.3338313767342583	0.0038428693424423	307969	1356545	0.0858297348022461	354373	False	True	1000000	1000000__660000	2	710000	712500	-287671	0.0	0.0	0.4158730158730159	0.3312700106723586	0.0074722459436379	50000	0.0025613660618996	0.0036293766011955	695000	697500	-302671	0.0	0.0	0.3492063492063492	0.3856990394877267	0.0055508112724167	35000	0.0518676627534684	0.0017079419299743	0.0	0.0	14.23087215423584	4.743624051411946
ENSG00000187608__ISG15__tss1001138	ENSG00000187608.10	ISG15	+	1001137	0.092913711129611	False	True	False	0.000650047074057	0.0009935023555614	-0.0003434552815043	0.0789013828898013	0.0811906941980981	-0.0022893113082968	0.0140270328208832	0.0178319151171028	-0.0038048822962195	92.625	191.66666666666669	-99.04166666666669	84.865234375	257.0597426470588	-172.19450827205878	ENSG00000187608	protein_coding	1001138	660000	662500	-338637	14.23087215423584	4.743624051411946	657500	4.743624051411946	1.0	0.219047619047619	0.3338313767342583	0.0038428693424423	308452	1357028	0.0853691101074218	353890	False	True	1000000	1000000__660000	2	710000	712500	-288637	0.0	0.0	0.4158730158730159	0.3312700106723586	0.0074722459436379	50000	0.0025613660618996	0.0036293766011955	695000	697500	-303637	0.0	0.0	0.3492063492063492	0.3856990394877267	0.0055508112724167	35000	0.0518676627534684	0.0017079419299743	0.0	0.0	14.23087215423584	4.743624051411946
ENSG00000131591__C1orf159__tss1116361	ENSG00000131591.18	C1orf159	-	1116360	0.0059737799225603	True	False	False	1.870546328418959e-05	1.4282292265514316e-05	4.423171018675277e-06	0.6962323577047163	0.761652943577307	-0.0654205858725907	0.2589396696514677	0.258477611534627	0.0004620581168406	945.0	955.5	-10.5	1247.875	1160.3676470588234	87.50735294117658	ENSG00000131591	protein_coding	1116361	1870000	1872500	756140	2.2790844440460205	1.0845502813657124	1877500	1.3354243834813435	1.0	0.5873015873015873	0.4939167556029882	0.0175064047822374	1001721	2050297	0.0	112639	True	False	1115000	1115000__1870000	2	1805000	1807500	691140	0.0	0.2944995363553365	0.4412698412698412	0.4697972251867662	0.0209222886421861	65000	0.024119530416222	0.0034158838599487	1935000	1937500	821140	0.0	0.2594381968180338	0.5301587301587302	0.5413020277481323	0.0303159692570452	65000	0.047385272145144	0.0128095644748078	0.0	0.2769688665866852	2.2790844440460205	1.0584555168946583
ENSG00000162571__TTLL10__tss1173880	ENSG00000162571.14	TTLL10	+	1173879	0.0007095198800856	False	False	False	5.573790098645942e-06	5.432553396918878e-06	1.4123670172706392e-07	0.1028539982058617	0.0754732146127653	0.0273807835930963	0.0214291397187763	0.0148881178808648	0.0065410218379115	117.25	129.390625	-12.140625	157.59926470588235	170.0393497242647	-12.440085018382348	ENSG00000162571	protein_coding	1173880	645000	647500	-526379	23.64219856262207	7.8807328542073565	647500	7.8807328542073565	0.975	0.4539682539682539	0.4121664887940234	0.0081127241673783	387323	1435899	0.0476837158203125	260019	False	False	1170000	1170000__645000	2	695000	697500	-476379	0.0	1.9519678751627605	0.3492063492063492	0.3856990394877267	0.0055508112724167	50000	0.0264674493062966	0.0025619128949615	660000	662500	-511379	0.0	0.0	0.219047619047619	0.3338313767342583	0.0038428693424423	15000	0.0783351120597651	0.0042698548249359	0.0	0.97598393758138	23.64219856262207	6.904748916625977
ENSG00000186891__TNFRSF18__tss1206592	ENSG00000186891.14	TNFRSF18	-	1206591	0.0017587746678417	False	False	False	7.76835782204349e-06	1.8027505010185033e-05	-1.0259147188141542e-05	0.0950162205061479	0.0811569044132309	0.013859316092917	0.0198518458878248	0.015886841165689	0.0039650047221357	168.0	123.734375	44.265624999999986	153.5234375	171.798828125	-18.275390625	ENSG00000186891	protein_coding	1206592	645000	647500	-559091	27.034326553344727	9.011442184448242	652500	11.565605481465658	1.0	0.4539682539682539	0.4121664887940234	0.0081127241673783	403679	1452255	0.0476837158203125	243663	False	False	1205000	1205000__645000	2	695000	697500	-509091	0.0	0.0	0.3492063492063492	0.3856990394877267	0.0055508112724167	50000	0.0264674493062966	0.0025619128949615	660000	662500	-544091	0.0	4.09697151184082	0.219047619047619	0.3338313767342583	0.0038428693424423	15000	0.0783351120597651	0.0042698548249359	0.0	2.04848575592041	27.034326553344727	9.517119725545248
ENSG00000186827__TNFRSF4__tss1214153	ENSG00000186827.12	TNFRSF4	-	1214152	0.0029300080001196	True	False	False	8.439635317131645e-06	3.233092175885903e-07	8.116326099543054e-06	0.6740777964275033	0.8735909443132446	-0.1995131478857412	0.1899734796149441	0.28997992000686	-0.1000064403919159	672.0	1002.25	-330.25	1073.8823529411766	1241.125	-167.24264705882342	ENSG00000186827	protein_coding	1214153	1865000	1867500	653348	1.970531225204468	1.049845019976298	1872500	1.5505084991455076	0.9523809523809524	0.2952380952380952	0.4516542155816435	0.0187873612297181	1023117	2071693	0.0	189035	True	False	1210000	1210000__1865000	2	1880000	1882500	668348	0.0	0.5006634791692097	0.3841269841269841	0.4864461045891142	0.0198548249359521	15000	0.0347918890074706	0.0010674637062339	1800000	1802500	588348	0.0	0.4113901058832804	0.3936507936507936	0.439701173959445	0.0160119555935098	65000	0.0119530416221985	0.0027754056362083	0.0	0.456026792526245	1.970531225204468	1.0944817066192625
ENSG00000078808__SDF4__tss1232031	ENSG00000078808.20	SDF4	-	1232030	0.1393818133455171	True	False	False	0.0003253319536975	0.0002406661107044	8.466584299303415e-05	0.6357121803576039	0.5331068094978239	0.10260537085978	0.2285683068295067	0.1933462210747831	0.0352220857547235	733.0	370.08333333333337	362.91666666666663	965.4117647058824	713.8014705882354	251.61029411764696	ENSG00000078808	protein_coding	1232031	1935000	1937500	705470	2.1689670085906982	1.321508248647054	1942500	1.321508248647054	0.9523809523809524	0.5301587301587302	0.5413020277481323	0.0303159692570452	1077056	2125632	0.0	152974	True	False	1230000	1230000__1935000	2	1900000	1902500	670470	0.0	0.1913036704063415	0.5301587301587302	0.5406616862326574	0.0254056362083689	35000	0.0006403415154748	0.0049103330486763	1970000	1972500	740470	0.0	0.224120020866394	0.5492063492063493	0.6209178228388473	0.0375747224594363	35000	0.079615795090715	0.0072587532023911	0.0	0.2077118456363678	2.1689670085906982	1.1137964030106862
ENSG00000176022__B3GALT6__tss1232237	ENSG00000176022.7	B3GALT6	+	1232236	0.3238803659487613	True	False	False	0.0007887939091281	0.0004461078508778	0.0003426860582503	0.608170199552403	0.5159938848313887	0.0921763147210142	0.2204992400493413	0.1865311134728398	0.0339681265765015	578.6666666666665	453.9375	124.72916666666652	970.9411764705884	714.078125	256.8630514705883	ENSG00000176022	protein_coding	1232237	1935000	1937500	705264	2.1689670085906982	1.321508248647054	1942500	1.321508248647054	0.9523809523809524	0.5301587301587302	0.5413020277481323	0.0303159692570452	1077159	2125735	0.0	153077	True	False	1230000	1230000__1935000	2	1900000	1902500	670264	0.0	0.1913036704063415	0.5301587301587302	0.5406616862326574	0.0254056362083689	35000	0.0006403415154748	0.0049103330486763	1970000	1972500	740264	0.0	0.224120020866394	0.5492063492063493	0.6209178228388473	0.0375747224594363	35000	0.079615795090715	0.0072587532023911	0.0	0.2077118456363678	2.1689670085906982	1.1137964030106862
ENSG00000162572__SCNN1D__tss1280436	ENSG00000162572.21	SCNN1D	+	1280435	0.0325816326972435	False	False	False	0.00013528016769	0.0001344400317055	8.401359844756318e-07	0.0586412399968118	0.0887809547640808	-0.0301397147672689	0.0146933511408761	0.0179256181275238	-0.0032322669866477	297.75	167.54166666666666	130.20833333333334	250.087890625	249.68772977941177	0.4001608455882319	ENSG00000162572	protein_coding	1280436	710000	712500	-567935	10.072724342346191	3.3575747807820635	707500	3.3575747807820635	1.0	0.4158730158730159	0.3312700106723586	0.0074722459436379	445601	1494177	0.0476837158203125	211741	False	False	1280000	1280000__710000	2	655000	657500	-622935	0.0	0.0	0.4285714285714285	0.3257203842049093	0.0064047822374039	55000	0.0055496264674493	0.0010674637062339	695000	697500	-582935	0.0	0.0	0.3492063492063492	0.3856990394877267	0.0055508112724167	15000	0.0544290288153681	0.0019214346712211	0.0	0.0	10.072724342346191	3.3575747807820635
ENSG00000107404__DVL1__tss1349418	ENSG00000107404.21	DVL1	-	1349417	0.073524693871027	True	False	False	5.8802136822758144e-05	0.000117484911627	-5.868277480425982e-05	0.6841270011247298	0.8194851152839426	-0.1353581141592128	0.2696016915044893	0.3265051678207855	-0.0569034763162962	796.0	822.4166666666667	-26.416666666666742	1261.75	1085.874080882353	175.87591911764707	ENSG00000107404	protein_coding	1349418	2265000	2267500	918083	1.801929593086243	1.077293594678243	2262500	1.4812350670496623	1.0	0.6	0.5622198505869798	0.0271135781383432	1318249	2366825	0.0	29167	True	False	1345000	1345000__2265000	2	2285000	2287500	938083	0.0	0.5917322238286336	0.5492063492063493	0.5628601921024546	0.0271135781383432	20000	0.0006403415154748	0.0	2335000	2337500	988083	0.0	0.441802978515625	0.6507936507936508	0.632017075773746	0.0414175918018787	70000	0.0697972251867662	0.0143040136635354	0.0	0.5167676011721293	1.801929593086243	0.9644674658775332
ENSG00000162576__MXRA8__tss1361777	ENSG00000162576.17	MXRA8	-	1361776	0.00577270921326	True	False	False	2.9437422543110957e-05	4.609717923208853e-05	-1.6659756688977567e-05	0.6470740512856061	0.7188161725401954	-0.0717421212545892	0.2561869413458917	0.2763928565320913	-0.0202059151861996	757.0	615.5	141.5	1133.4117647058822	1021.2931985294116	112.1185661764705	ENSG00000162576	protein_coding	1361777	2265000	2267500	905724	2.005838394165039	0.9346883694330852	2262500	1.160160481929779	1.0	0.6	0.5622198505869798	0.0271135781383432	1326929	2375505	0.0	32847	True	False	1360000	1360000__2265000	2	2290000	2292500	930724	0.0	0.2602046330769856	0.6317460317460317	0.5965848452508005	0.0324508966695132	25000	0.0343649946638207	0.0053373185311699	2340000	2342500	980724	0.0	0.8655470808347066	0.5904761904761905	0.616435432230523	0.0365072587532023	75000	0.0542155816435432	0.009393680614859	0.0	0.5628758569558461	2.005838394165039	0.597284624973933
ENSG00000242485__MRPL20__tss1407293	ENSG00000242485.6	MRPL20	-	1407292	0.8233632195902637	True	False	False	0.0002778477741461	0.0006032499990531	-0.0003254022249069	0.6223301589640509	0.5508107322812383	0.0715194266828125	0.2464871604240315	0.1994884102976403	0.0469987501263912	634.6666666666665	451.8333333333333	182.8333333333332	1081.7647058823527	909.095588235294	172.66911764705856	ENSG00000242485	protein_coding	1407293	1945000	1947500	540208	1.4236873388290403	1.017758270104726	1947500	1.017758270104726	0.9545454545454546	0.5238095238095238	0.5457844183564567	0.0258326216908625	1152187	2200763	0.0	253105	True	False	1405000	1405000__1945000	2	1900000	1902500	495208	0.0	0.5216516653696696	0.5301587301587302	0.5406616862326574	0.0254056362083689	45000	0.0051227321237993	0.0004269854824935	1875000	1877500	470208	0.0	0.7253430684407551	0.3873015873015873	0.4732123799359658	0.0140905209222886	70000	0.0725720384204909	0.0117421007685738	0.0	0.6234973669052124	1.4236873388290403	0.3942609031995137
