gene_symbol,gene_id,chrom,strand,start,end,tss,gene_type,recipient_class,transcript_id,transcript_type,tss_source,tss_rank
A3GALT2,ENSG00000184389.9,chr1,-,33306765,33321098,33321098,protein_coding,hpa_liver_bottom100,ENST00000442999.3,protein_coding,protein_coding_transcript_tss,1
AADACL2,ENSG00000197953.6,chr3,+,151733915,151761339,151733926,protein_coding,hpa_liver_bottom100,ENST00000356517.4,protein_coding,protein_coding_transcript_tss,1
AADACL3,ENSG00000188984.12,chr1,+,12716109,12728760,12716109,protein_coding,hpa_liver_bottom100,ENST00000359318.8,protein_coding,protein_coding_transcript_tss,1
AADACL4,ENSG00000204518.3,chr1,+,12644084,12667076,12644084,protein_coding,hpa_liver_bottom100,ENST00000376221.2,protein_coding,protein_coding_transcript_tss,1
AANAT,ENSG00000129673.10,chr17,+,76453350,76470117,76453350,protein_coding,hpa_liver_bottom100,ENST00000250615.7,protein_coding,protein_coding_transcript_tss,1
AARD,ENSG00000205002.4,chr8,+,116938206,116944487,116938206,protein_coding,hpa_liver_bottom100,ENST00000378279.4,protein_coding,protein_coding_transcript_tss,1
ABCA12,ENSG00000144452.15,chr2,-,214931541,215138626,215032086,protein_coding,hpa_liver_bottom100,ENST00000389661.4,protein_coding,protein_coding_transcript_tss,2
ABCB5,ENSG00000004846.17,chr7,+,20615666,20777038,20647342,protein_coding,hpa_liver_bottom100,ENST00000443026.6,protein_coding,protein_coding_transcript_tss,2
ABCC12,ENSG00000140798.17,chr16,-,48080881,48156018,48091221,protein_coding,hpa_liver_bottom100,ENST00000689320.1,protein_coding,protein_coding_transcript_tss,2
ABCC8,ENSG00000006071.16,chr11,-,17392497,17476894,17428568,protein_coding,hpa_liver_bottom100,ENST00000642579.1,protein_coding,protein_coding_transcript_tss,6
ABHD12B,ENSG00000131969.15,chr14,+,50872052,50904970,50872159,protein_coding,hpa_liver_bottom100,ENST00000353130.5,protein_coding,protein_coding_transcript_tss,2
ABRA,ENSG00000174429.4,chr8,-,106759482,106770244,106770244,protein_coding,hpa_liver_bottom100,ENST00000311955.4,protein_coding,protein_coding_transcript_tss,1
ACAN,ENSG00000157766.19,chr15,+,88803435,88875353,88872968,protein_coding,hpa_liver_bottom100,ENST00000558704.1,protein_coding,protein_coding_transcript_tss,5
ACCSL,ENSG00000205126.2,chr11,+,44047980,44059977,44047980,protein_coding,hpa_liver_bottom100,ENST00000378832.1,protein_coding,protein_coding_transcript_tss,1
ACOD1,ENSG00000102794.11,chr13,+,76948510,76958638,76948510,protein_coding,hpa_liver_bottom100,ENST00000377462.6,protein_coding,protein_coding_transcript_tss,1
ACP4,ENSG00000142513.6,chr19,+,50790414,50795219,50790414,protein_coding,hpa_liver_bottom100,ENST00000270593.2,protein_coding,protein_coding_transcript_tss,1
