cohort,gene_symbol,gene_id,native,T_minus_G
bottom500,A3GALT2,ENSG00000184389.9,0.0034449528944668,0.0041477807529725
bottom500,AADACL2,ENSG00000197953.6,0.0001538696884791,0.1383020930935563
bottom500,AADACL3,ENSG00000188984.12,3.02097908033236e-05,0.0233055420968099
bottom500,AADACL4,ENSG00000204518.3,2.5253740043015387e-05,0.007861341352379782
bottom500,AANAT,ENSG00000129673.10,0.0020044975470474,0.016773025254238398
bottom500,AARD,ENSG00000205002.4,0.0007314258454084,0.0309753762980973
bottom500,ABCA12,ENSG00000144452.15,0.0001623868826805,0.061889705251591
bottom500,ABCB5,ENSG00000004846.17,1.0264010308973791e-05,0.0046387052149981
bottom500,ABCC12,ENSG00000140798.17,1.881707152894097e-05,0.004148857448692899
bottom500,ABCC8,ENSG00000006071.16,0.0006321522673447,0.1757285397032392
bottom500,ABHD12B,ENSG00000131969.15,0.0008016090914898,0.1315544781849343
bottom500,ABRA,ENSG00000174429.4,0.0002135673287348,1.2644579731142718
bottom500,ACAN,ENSG00000157766.19,0.0004132962819025,0.0118544529340581
bottom500,ACCSL,ENSG00000205126.2,0.0002564602672184,0.36529888909582137
bottom500,ACOD1,ENSG00000102794.11,4.040985688496787e-05,0.015187741088846702
bottom500,ACP4,ENSG00000142513.6,0.0004031473345074,0.9308780347825212
bottom500,ACP7,ENSG00000183760.11,3.648632666369055e-05,0.0191660364787946
bottom500,ACRV1,ENSG00000134940.14,0.0003654806005908,0.0005369736489223001
bottom500,ACSBG2,ENSG00000130377.14,7.209388029733758e-05,0.0087621673037835
bottom500,ACSM4,ENSG00000215009.6,0.0001451702495023,0.0031912671576676
bottom500,ACSM6,ENSG00000173124.15,0.0011983571658976,0.185338989298691
bottom500,ACTBL2,ENSG00000169067.4,0.0001303717020862,0.0086145978022156
bottom500,ACTL6B,ENSG00000077080.10,0.000469110637494,0.4408046120607374
bottom500,ACTL7A,ENSG00000187003.7,0.0001254521939125,0.6401584286804172
bottom500,ACTL7B,ENSG00000148156.8,6.24987021239941e-05,5.596004206983143
bottom500,ACTL8,ENSG00000117148.8,3.2423443231093234e-06,0.0004204094916532279
bottom500,ACTL9,ENSG00000181786.6,1.5399671290580367e-05,0.7995154202700725
bottom500,ACTN3,ENSG00000248746.6,0.0146174748345686,0.0969689652332412
bottom500,ACTRT1,ENSG00000123165.9,2.7201805252274267e-05,0.0006221369723430001
bottom500,ACTRT2,ENSG00000169717.7,1.1909845882799688e-05,0.1700358593506355
bottom500,ADAD1,ENSG00000164113.11,2.227445518275867e-05,0.0005705947710524706
bottom500,ADAD2,ENSG00000140955.11,0.0001867638819716,0.0241080454306971
bottom500,ADAM18,ENSG00000168619.16,4.046381962745774e-05,0.0362441311554294
bottom500,ADAM2,ENSG00000104755.16,2.1734681111727615e-05,0.0009691411535278449
bottom500,ADAM21,ENSG00000139985.8,0.034149899670025,0.0039735233365724995
bottom500,ADAM29,ENSG00000168594.15,2.5877274531260595e-05,6.05066380212379e-05
bottom500,ADAM30,ENSG00000134249.7,9.696659889497724e-06,0.0541978993719688
bottom500,ADAM32,ENSG00000197140.15,0.008811597475298,0.0037929995461403014
bottom500,ADAM7,ENSG00000069206.15,2.8374405782773756e-05,0.0441898185023291
bottom500,ADAMTS18,ENSG00000140873.16,0.001776079709238,0.0019019052285725994
bottom500,ADAMTS19,ENSG00000145808.10,0.0012563577513528,0.0152314796937967
bottom500,ADAMTS20,ENSG00000173157.18,0.0005668311004581,0.0476325204765305
bottom500,ADAMTS6,ENSG00000049192.15,0.0062223862975039,0.007822094677298
bottom500,ADAMTS8,ENSG00000134917.10,0.0031499203782096,0.0925329787839624
bottom500,ADARB2,ENSG00000185736.16,0.0005590260564758,0.0097479721319293
bottom500,ADCY2,ENSG00000078295.17,0.0008843548109876,0.015199257606348899
bottom500,ADCY8,ENSG00000155897.10,0.0008423946767432,0.0249906905280355
bottom500,ADGB,ENSG00000118492.19,5.660918206060284e-05,0.0029972947371305
bottom500,ADGRB2,ENSG00000121753.13,0.0003303365545561,0.0016129485326122001
bottom500,ADGRD2,ENSG00000180264.12,0.0001301439906227,0.0392048910522768
bottom500,ADGRF1,ENSG00000153292.16,0.0001952604651463,0.030009258932335595
bottom500,ADGRF4,ENSG00000153294.12,3.7128851097007304e-05,0.0002546304633425943
bottom500,ADGRG4,ENSG00000156920.11,6.627621415310091e-06,0.00010250436983184913
bottom500,ADIG,ENSG00000182035.13,0.0004290849789617,0.0009264008889332
bottom500,ADRB3,ENSG00000188778.6,0.0009233905236023,0.5296685296291364
bottom500,AGBL1,ENSG00000273540.5,0.0002955674211412,0.10750381405588141
bottom500,AGTR2,ENSG00000180772.8,0.0043773143629446,0.6391186318248152
bottom500,AICDA,ENSG00000111732.12,0.0001144074620499,0.0624737845918273
bottom500,AIPL1,ENSG00000129221.16,1.7239785240160037e-05,1.070462552850906
bottom500,AIRE,ENSG00000160224.17,0.000272113832334,0.1843857150256391
bottom500,AKAP4,ENSG00000147081.15,4.1551576640926566e-05,0.2488035616553582
bottom500,AKNAD1,ENSG00000162641.20,2.3576759669276343e-05,0.006444616062379
bottom500,ALG1L2,ENSG00000251287.9,3.832765839144179e-05,0.0011526830584409
bottom500,ALK,ENSG00000171094.18,0.0005276666043709,0.0014092000431789001
bottom500,ALOX12B,ENSG00000179477.11,1.6225726231218613e-05,0.3786015519780509
bottom500,ALOXE3,ENSG00000179148.11,0.0006915796874397,0.0083579817535574
bottom500,ALPG,ENSG00000163286.9,5.0087770859181e-05,0.6111828411869488
bottom500,ALPI,ENSG00000163295.5,0.0023924781587296,1.2937639845884474
bottom500,ALPP,ENSG00000163283.7,0.0001370021394468,1.354521037926453
bottom500,ALX1,ENSG00000180318.4,0.0001833188462895,0.0033783915315401
bottom500,ALX4,ENSG00000052850.8,8.337262575314819e-05,0.001608464145282
bottom500,AMBN,ENSG00000178522.15,0.0001101117515332,0.1690203191292423
bottom500,AMELX,ENSG00000125363.14,0.0002096532396308,0.0435972551556136
bottom500,AMELY,ENSG00000099721.16,0.0357516136162878,0.039228619495689905
bottom500,AMER2,ENSG00000165566.13,0.000393229422576,0.0136254761778647
bottom500,AMER3,ENSG00000178171.12,2.7386842474451883e-05,0.0050711902992051
bottom500,AMTN,ENSG00000187689.10,2.862355057458937e-05,0.0429251135518494
bottom500,AMY1A,ENSG00000237763.10,1.4264253094217572e-05,0.1113813654203435
bottom500,AMY1B,ENSG00000174876.17,1.0294512849688123e-05,0.1471466254742431
bottom500,AMY1C,ENSG00000187733.7,6.970678873023103e-07,6.571125894698646e-05
bottom500,AMY2A,ENSG00000243480.8,0.000423627018025,0.9710816968842007
bottom500,ANGPTL5,ENSG00000187151.7,0.002713249303884,0.0085333734502457
bottom500,ANKFN1,ENSG00000153930.13,0.0001178086229183,0.0057117933402615
bottom500,ANKRD30A,ENSG00000148513.20,3.7118939646063255e-05,0.0144380134560083
bottom500,ANKRD30B,ENSG00000180777.15,6.131939686189877e-05,0.0063218191262336
bottom500,ANKRD30BL,ENSG00000163046.16,0.000257735660868,0.0008660523576417999
bottom500,ANKRD31,ENSG00000145700.10,0.0011019554342365,0.019793772076117
bottom500,ANKRD34B,ENSG00000189127.8,0.0001726317458842,0.0452741096139179
bottom500,ANKRD34C,ENSG00000235711.5,1.984025837188908e-05,0.0045043173132260006
bottom500,ANKRD45,ENSG00000183831.7,0.0003369814215585,0.0064283629104534
bottom500,ANKRD60,ENSG00000124227.6,0.014290966099534,0.0013509375013496003
bottom500,ANKRD62,ENSG00000181626.12,0.0001413179348091,0.0555106116447573
bottom500,ANKRD63,ENSG00000230778.2,0.0006637327198603,0.0475076897302429
bottom500,ANKRD66,ENSG00000230062.7,0.0001283694934812,0.08901869068342
bottom500,ANKUB1,ENSG00000206199.11,4.4720557188620016e-05,0.0530729486262095
bottom500,ANO2,ENSG00000047617.18,0.0037666168409934,0.0278723817720598
bottom500,ANO4,ENSG00000151572.18,0.0001038399870537,0.0178387509014153
bottom500,ANP32D,ENSG00000139223.4,0.0002698970195562,0.00022515346931830006
bottom500,ANTXRL,ENSG00000274209.6,0.0005135110176812,0.0035165741494683
bottom500,APC2,ENSG00000115266.12,5.742859932811489e-05,0.0008839386388304001
bottom500,APCDD1L,ENSG00000198768.11,0.0003821897343493,0.0058655977504575
bottom500,APELA,ENSG00000248329.6,0.001151049091944,0.0566435212594221
bottom500,APOBEC1,ENSG00000111701.7,8.16765022130844e-05,0.1305289878320229
bottom500,APOBEC4,ENSG00000173627.8,0.0007589868033829,0.0066779648429983
bottom500,AQP10,ENSG00000143595.13,0.0082468303650818,0.48128093429371693
bottom500,AQP12A,ENSG00000184945.15,0.0005602654462892,0.28746166942735957
bottom500,AQP12B,ENSG00000185176.13,0.0003566473665351,1.271281120514538
bottom500,ARHGAP36,ENSG00000147256.12,0.0001596827414574,0.0043813120573759
bottom500,ARHGAP40,ENSG00000124143.11,0.0004864789619712,0.0732902923613938
bottom500,ARL13A,ENSG00000174225.15,0.0002580216876205,0.00024192295189519997
bottom500,ARL14EPL,ENSG00000268223.7,0.0004778196380132,0.0011568751481288
bottom500,ARL5C,ENSG00000141748.13,0.0003622212751149,0.24202305903079602
bottom500,ARMC3,ENSG00000165309.14,7.671123330336178e-05,0.0015167523881787
bottom500,ARMH2,ENSG00000260286.4,0.0009523715436245,0.11670245696208349
bottom500,ARR3,ENSG00000120500.19,0.0002728415910555,0.25757843929857427
bottom500,ARSH,ENSG00000205667.3,2.306543837940704e-05,0.0009258213082266
bottom500,ART1,ENSG00000129744.3,0.000262231198309,0.015330830921801401
bottom500,ARX,ENSG00000004848.8,5.006060279836896e-05,0.000589058236421112
bottom500,ASB10,ENSG00000146926.11,0.0001106651234584,0.6263897219112748
bottom500,ASB11,ENSG00000165192.14,0.0005109433360484,0.11046422745103401
bottom500,ASB15,ENSG00000146809.14,9.695625346283395e-06,1.728525576958394e-05
bottom500,ASB17,ENSG00000154007.7,6.264028876757936e-05,0.3871870518579867
bottom500,ASB18,ENSG00000182177.15,8.493067208954683e-05,0.0404081689653959
bottom500,ASB5,ENSG00000164122.9,0.000277881095988,0.0662835849600962
bottom500,ASCL3,ENSG00000176009.4,7.99410163860892e-05,0.0315354467299551
bottom500,ASCL4,ENSG00000187855.6,4.691305904894181e-05,0.11945584189695531
bottom500,ASCL5,ENSG00000232237.5,1.2300382385821502e-05,0.015907775481613
bottom500,ASIC2,ENSG00000108684.15,0.0006743700626908,0.0048822588901425
bottom500,ASIC4,ENSG00000072182.14,0.0168494446210716,0.15575426672404138
bottom500,ASIC5,ENSG00000256394.3,0.0046489876125848,0.16814645544088042
bottom500,ASZ1,ENSG00000154438.8,2.0793297258300757e-05,0.000751667597112935
bottom500,ATCAY,ENSG00000167654.18,3.185731013333651e-05,0.001522122100827581
bottom500,ATOH1,ENSG00000172238.6,0.0002072295923917,0.0249371984921564
bottom500,ATP10B,ENSG00000118322.14,0.000910175773518,0.0168468476702429
bottom500,ATP12A,ENSG00000075673.12,0.0002244488164437,0.1486889794164723
bottom500,ATP13A5,ENSG00000187527.12,2.365715762610079e-05,0.038297750554039396
bottom500,ATP1A4,ENSG00000132681.17,7.17210568952064e-06,0.0546481946661297
bottom500,ATP2B3,ENSG00000067842.19,0.0003190925881753,0.0031184636644252
bottom500,ATP5MGL,ENSG00000249222.1,0.0134638710378716,0.006771708353155898
bottom500,ATP6V0A4,ENSG00000105929.16,0.000195458623286,0.023202776710242
bottom500,ATP6V1G3,ENSG00000151418.12,5.432340611862677e-05,0.0546731317753664
bottom500,ATP8A2,ENSG00000132932.19,0.0001583814110286,0.0158348060688039
bottom500,ATXN3L,ENSG00000123594.7,6.234031929444802e-06,0.00013678150767012007
bottom500,AVPR1B,ENSG00000198049.7,0.0008894196713575,0.1378137656484188
bottom500,AVPR2,ENSG00000126895.16,0.0040620610946271,0.37268040331080077
bottom500,AWAT1,ENSG00000204195.4,0.0026799883930263,0.23768998474555542
bottom500,AWAT2,ENSG00000147160.9,0.0001588660768212,0.067621397490716
bottom500,AXDND1,ENSG00000162779.22,0.0005357659255118,0.0007594422332736
bottom500,B3GALT1,ENSG00000172318.6,0.0011016142262529,0.0023081748365791003
