cohort,state_id,state_kind,gene_symbol,gene_id,gene_type,recipient_class,transcript_id,transcript_type,tss_source,tss_rank,chrom,strand,gene_start,gene_end,tss_hg38,interval_start0,interval_end0,donor_id,donor_group,donor_length,donor_allele,motif_status,placement,replacement_start_hg38,replacement_end_hg38,placement_offset_start_bp,placement_offset_end_bp,sequence_sha256,rna_liver_all_mean,rna_liver_gene_strand_mean,rna_liver_primary,n_liver_tracks,upstream_distance_bp,upstream_distance_label,native_rna_liver_primary,native_rna_liver_all_mean,native_rna_liver_gene_strand_mean,delta_liver_primary_vs_native,delta_liver_all_vs_native,delta_liver_gene_strand_vs_native,scrambled_rna_liver_primary_same_distance,delta_liver_primary_vs_scrambled_same_distance,fold_change_vs_native,log2_fold_change_vs_native
bottom500,A3GALT2__ENSG00000184389__ENST00000442999__tss33321098__upstream_000030bp__rs127_minor_scramble_315_asym_m179_p135,transfer,A3GALT2,ENSG00000184389.9,protein_coding,hpa_liver_bottom500,ENST00000442999.3,protein_coding,protein_coding_transcript_tss,1,chr1,-,33306765,33321098,33321098,32796809,33845385,rs127_minor_scramble_315_asym_m179_p135,scrambled_control,315,minor,scrambled,upstream_000030bp,33321129.0,33321443.0,-345.0,-31.0,e624eac1dce333799c209c54ea5d19614d668de051c33e609a26d2d69541740a,0.0019097488363276,0.003156900823012,0.003156900823012,5,30.0,30,0.0034449528944668,0.0020852905337556,0.0034449528944668,-0.0002880520714548,-0.000175541697428,-0.0002880520714548,0.003156900823012,0.0,0.9163843221434284,-0.1259753182170664
bottom500,A3GALT2__ENSG00000184389__ENST00000442999__tss33321098__upstream_000030bp__rs127_major_315_asym_m179_p135,transfer,A3GALT2,ENSG00000184389.9,protein_coding,hpa_liver_bottom500,ENST00000442999.3,protein_coding,protein_coding_transcript_tss,1,chr1,-,33306765,33321098,33321098,32796809,33845385,rs127_major_315_asym_m179_p135,rs127_major,315,major,major_native,upstream_000030bp,33321129.0,33321443.0,-345.0,-31.0,68ef606f32e077d8f4f97f130960778bc2fd8209b4af13fafcd18f1c33b5999f,0.0027230533174621,0.0044902797382116,0.0044902797382116,5,30.0,30,0.0034449528944668,0.0020852905337556,0.0034449528944668,0.0010453268437448,0.0006377627837064,0.0010453268437448,0.003156900823012,0.0013333789151996,1.3034371951569437,0.38232106970237567
bottom500,A3GALT2__ENSG00000184389__ENST00000442999__tss33321098__upstream_000030bp__rs127_minor_315_asym_m179_p135,transfer,A3GALT2,ENSG00000184389.9,protein_coding,hpa_liver_bottom500,ENST00000442999.3,protein_coding,protein_coding_transcript_tss,1,chr1,-,33306765,33321098,33321098,32796809,33845385,rs127_minor_315_asym_m179_p135,rs127_minor,315,minor,minor_native,upstream_000030bp,33321129.0,33321443.0,-345.0,-31.0,6cc06cbe2bdc995579d3422e12ad587b748d32fc80c663fb296b77d2ad8fff17,0.0052463039104058,0.0086380604911841,0.0086380604911841,5,30.0,30,0.0034449528944668,0.0020852905337556,0.0034449528944668,0.0051931075967172,0.0031610133766502,0.0051931075967172,0.003156900823012,0.0054811596681721,2.5074538769625394,1.326223163613366
bottom500,AADACL2__ENSG00000197953__ENST00000356517__tss151733926__upstream_000030bp__rs127_minor_scramble_315_asym_m179_p135,transfer,AADACL2,ENSG00000197953.6,protein_coding,hpa_liver_bottom500,ENST00000356517.4,protein_coding,protein_coding_transcript_tss,1,chr3,+,151733915,151761339,151733926,151209637,152258213,rs127_minor_scramble_315_asym_m179_p135,scrambled_control,315,minor,scrambled,upstream_000030bp,151733581.0,151733895.0,-345.0,-31.0,786f9b7d840304b1bdbf008950bdfe8d5833b745766f4a16492d8bb79bc92fd0,0.0002271255106106,6.431284341196863e-05,6.431284341196863e-05,5,30.0,30,0.0001538696884791,0.0002353326848207,0.0001538696884791,-8.955684506713138e-05,-8.207174210099998e-06,-8.955684506713138e-05,6.431284341196863e-05,0.0,0.4179695432392078,-1.2585302755922787
bottom500,AADACL2__ENSG00000197953__ENST00000356517__tss151733926__upstream_000030bp__rs127_major_315_asym_m179_p135,transfer,AADACL2,ENSG00000197953.6,protein_coding,hpa_liver_bottom500,ENST00000356517.4,protein_coding,protein_coding_transcript_tss,1,chr3,+,151733915,151761339,151733926,151209637,152258213,rs127_major_315_asym_m179_p135,rs127_major,315,major,major_native,upstream_000030bp,151733581.0,151733895.0,-345.0,-31.0,acfca40733da8f95b372db47dc4d4e2e6f25f03d1ba1cfe24c592a9ad49ec804,0.0031853730929502,0.0047583467315208,0.0047583467315208,5,30.0,30,0.0001538696884791,0.0002353326848207,0.0001538696884791,0.0046044770430417,0.0029500404081295,0.0046044770430417,6.431284341196863e-05,0.0046940338881088,30.924523072438156,4.950679440571334
bottom500,AADACL2__ENSG00000197953__ENST00000356517__tss151733926__upstream_000030bp__rs127_minor_315_asym_m179_p135,transfer,AADACL2,ENSG00000197953.6,protein_coding,hpa_liver_bottom500,ENST00000356517.4,protein_coding,protein_coding_transcript_tss,1,chr3,+,151733915,151761339,151733926,151209637,152258213,rs127_minor_315_asym_m179_p135,rs127_minor,315,minor,minor_native,upstream_000030bp,151733581.0,151733895.0,-345.0,-31.0,ff9d64bd34c4c20c9c95d54667a1584c1eea40df0c893bb95a6b2d615695b365,0.0872267316567529,0.1430604398250771,0.1430604398250771,5,30.0,30,0.0001538696884791,0.0002353326848207,0.0001538696884791,0.142906570136598,0.0869913989719322,0.142906570136598,6.431284341196863e-05,0.1429961269816651,929.7506301542222,9.860700010423296
bottom500,AADACL3__ENSG00000188984__ENST00000359318__tss12716109__upstream_000030bp__rs127_minor_scramble_315_asym_m179_p135,transfer,AADACL3,ENSG00000188984.12,protein_coding,hpa_liver_bottom500,ENST00000359318.8,protein_coding,protein_coding_transcript_tss,1,chr1,+,12716109,12728760,12716109,12191820,13240396,rs127_minor_scramble_315_asym_m179_p135,scrambled_control,315,minor,scrambled,upstream_000030bp,12715764.0,12716078.0,-345.0,-31.0,aca13082f0c5b76a5eb0c9775f0007bad40318259b83c90391c615c1279f2c99,2.623570748404708e-05,4.224393928694044e-05,4.224393928694044e-05,5,30.0,30,3.02097908033236e-05,1.8774927855454795e-05,3.02097908033236e-05,1.2034148483616838e-05,7.460779628592285e-06,1.2034148483616838e-05,4.224393928694044e-05,0.0,1.398352592441417,0.48372817990464745
bottom500,AADACL3__ENSG00000188984__ENST00000359318__tss12716109__upstream_000030bp__rs127_major_315_asym_m179_p135,transfer,AADACL3,ENSG00000188984.12,protein_coding,hpa_liver_bottom500,ENST00000359318.8,protein_coding,protein_coding_transcript_tss,1,chr1,+,12716109,12728760,12716109,12191820,13240396,rs127_major_315_asym_m179_p135,rs127_major,315,major,major_native,upstream_000030bp,12715764.0,12716078.0,-345.0,-31.0,710db8e9f868335a044b4d853133e68548ba66e0f28bc2a67624fa590fe4d67f,0.0003119254253593,0.0005118054736255,0.0005118054736255,5,30.0,30,3.02097908033236e-05,1.8774927855454795e-05,3.02097908033236e-05,0.0004815956828221,0.0002931504975038,0.0004815956828221,4.224393928694044e-05,0.0004695615343385,16.9417086320635,4.082507477863066
bottom500,AADACL3__ENSG00000188984__ENST00000359318__tss12716109__upstream_000030bp__rs127_minor_315_asym_m179_p135,transfer,AADACL3,ENSG00000188984.12,protein_coding,hpa_liver_bottom500,ENST00000359318.8,protein_coding,protein_coding_transcript_tss,1,chr1,+,12716109,12728760,12716109,12191820,13240396,rs127_minor_315_asym_m179_p135,rs127_minor,315,minor,minor_native,upstream_000030bp,12715764.0,12716078.0,-345.0,-31.0,09b0ab315b6f3c976bf0b73990010db3bedda169b3b524f702588cdf18a82414,0.0143840832678183,0.0238173475704354,0.0238173475704354,5,30.0,30,3.02097908033236e-05,1.8774927855454795e-05,3.02097908033236e-05,0.023787137779632,0.0143653083399628,0.023787137779632,4.224393928694044e-05,0.0237751036311484,788.3982952909121,9.622780846701524
bottom500,AADACL4__ENSG00000204518__ENST00000376221__tss12644084__upstream_000030bp__rs127_minor_scramble_315_asym_m179_p135,transfer,AADACL4,ENSG00000204518.3,protein_coding,hpa_liver_bottom500,ENST00000376221.2,protein_coding,protein_coding_transcript_tss,1,chr1,+,12644084,12667076,12644084,12119795,13168371,rs127_minor_scramble_315_asym_m179_p135,scrambled_control,315,minor,scrambled,upstream_000030bp,12643739.0,12644053.0,-345.0,-31.0,b872b83b5fa6c647511ee3cb2cb01e749528820c1828bb3546ce26ab82585666,1.2046246100167496e-05,1.791403297960912e-05,1.791403297960912e-05,5,30.0,30,2.5253740043015387e-05,1.677726698687039e-05,2.5253740043015387e-05,-7.339707063406267e-06,-4.731020886702892e-06,-7.339707063406267e-06,1.791403297960912e-05,0.0,0.7093615816546641,-0.49540689748313094
