promoter_id	gene_name	primary_input_qc_pass	primary_interaction_rna	interaction_log2_T_over_G_rna	contact_edge_cluster	high_signed_distance_bp	primary_contact_oe_difference	geometry_group	minimum_endpoint_or_replacement_edge_margin_bp	sort1_region_overlap	absolute_high_distance_bp	distance_stratum	within_distance_contact_quintile
ENSG00000188976__NOC2L__tss959309	NOC2L	True	8.181965789091916e-05	0.000887439957865	955000__1865000	908192	1.5908788442611694	>500 kb	60771	False	908192		
ENSG00000187961__KLHL17__tss960584	KLHL17	True	-0.0001568498586025	-0.0015100960497661	960000__1935000	976917	3.993816614151001	>500 kb	26408	False	976917		
ENSG00000187583__PLEKHN1__tss966482	PLEKHN1	False	0.0004150758288775	0.0052757067914358	965000__710000	-253981	3.575878381729126	clean ≤500 kb	367876	False	253981	150–300	
ENSG00000188290__HES4__tss1000172	HES4	False	-0.0006705543294326	-0.0063212239443157	1000000__660000	-337671	14.23087215423584	clean ≤500 kb	353531	False	337671	300–500	
ENSG00000187608__ISG15__tss1001138	ISG15	False	-0.0003434552815043	-0.0051829570944775	1000000__660000	-338637	14.23087215423584	clean ≤500 kb	353048	False	338637	300–500	
ENSG00000131591__C1orf159__tss1116361	C1orf159	True	4.423171018675277e-06	0.0009114126439384	1115000__1870000	756140	2.2790844440460205	>500 kb	111797	False	756140		
ENSG00000162571__TTLL10__tss1173880	TTLL10	False	1.4123670172706392e-07	0.0001179295777836	1170000__645000	-526379	23.64219856262207	mixed	259177	False	526379		
ENSG00000186891__TNFRSF18__tss1206592	TNFRSF18	False	-1.0259147188141542e-05	-0.0053642980617153	1205000__645000	-559091	27.034326553344727	>500 kb	242821	False	559091		
ENSG00000186827__TNFRSF4__tss1214153	TNFRSF4	True	8.116326099543054e-06	0.0029722134611874	1210000__1865000	653348	1.970531225204468	>500 kb	188193	False	653348		
ENSG00000078808__SDF4__tss1232031	SDF4	True	8.466584299303415e-05	0.0008673554390946	1230000__1935000	705470	2.1689670085906982	>500 kb	152132	False	705470		
ENSG00000176022__B3GALT6__tss1232237	B3GALT6	True	0.0003426860582503	0.0015158749862125	1230000__1935000	705264	2.1689670085906982	>500 kb	152235	False	705264		
ENSG00000162572__SCNN1D__tss1280436	SCNN1D	False	8.401359844756318e-07	4.453012225217028e-05	1280000__710000	-567935	10.072724342346191	>500 kb	210899	False	567935		
ENSG00000107404__DVL1__tss1349418	DVL1	True	-5.868277480425982e-05	-0.001134230244852	1345000__2265000	918083	1.801929593086243	>500 kb	28325	False	918083		
ENSG00000162576__MXRA8__tss1361777	MXRA8	True	-1.6659756688977567e-05	-0.0034793102466743	1360000__2265000	905724	2.005838394165039	>500 kb	32005	False	905724		
ENSG00000242485__MRPL20__tss1407293	MRPL20	True	-0.0003254022249069	-0.0005696357157834	1405000__1945000	540208	1.4236873388290403	mixed	252263	False	540208		
ENSG00000235098__ANKRD65__tss1421769	ANKRD65	True	0.000332691863528	0.0095549999747714	1420000__1935000	515732	1.522392898797989	mixed	247001	False	515732		
ENSG00000205116__TMEM88B__tss1425871	TMEM88B	True	7.999050342112277e-05	0.0038336626983675	1425000__1935000	511630	2.079636812210083	mixed	259052	False	511630		
ENSG00000160072__ATAD3B__tss1471765	ATAD3B	True	2.228388396599036e-05	0.0010546674130525	1470000__2265000	795736	2.6247029304504395	>500 kb	89499	False	795736		
ENSG00000197785__ATAD3A__tss1512162	ATAD3A	True	-3.9261698196459485e-05	-0.0022758122499884	1510000__1980000	470339	1.9149659872055056	mixed	259697	False	470339	300–500	
ENSG00000160075__SSU72__tss1574863	SSU72	True	-0.0002727979890803	-0.0020693336900642	1570000__660000	-912362	30.520994186401367	>500 kb	66185	False	912362		
ENSG00000197530__MIB2__tss1615454	MIB2	True	-5.906521851921365e-05	-0.0009677634698545	1615000__1870000	257047	1.2192887961864471	clean ≤500 kb	361343	False	257047	150–300	1
ENSG00000189339__SLC35E2B__tss1692795	SLC35E2B	True	-4.5799090647493865e-05	-0.0026117865449052	1690000__1935000	244706	3.249385207891464	clean ≤500 kb	382514	False	244706	150–300	4
ENSG00000008128__CDK11A__tss1724357	CDK11A	True	-2.745641307772516e-05	-0.0014408790198156	1720000__2280000	558144	3.740878105163574	>500 kb	215795	False	558144		
ENSG00000169885__CALML6__tss1915108	CALML6	False	0.0001078016269527	0.0047123851668219	1915000__2675000	762393	25.943227767944336	>500 kb	133670	False	762393		
